,subject,feature_shuffle,trialnum,correlation
108,sub05,ling_word_target,27,0.02874953258789287
109,sub05,ling_word_dis,27,0.01805625442597663
110,sub05,ling_phone_target,27,-0.01749031328777542
111,sub05,ling_phone_dis,27,-0.03245022745775769
112,sub05,ling_word_target,28,0.020738654744486128
113,sub05,ling_word_dis,28,0.07326799506419726
114,sub05,ling_phone_target,28,-0.050956587296359976
115,sub05,ling_phone_dis,28,0.047847644094437945
116,sub05,ling_word_target,29,0.06432889010603532
117,sub05,ling_word_dis,29,0.05129718837495701
118,sub05,ling_phone_target,29,-0.02285699606493186
119,sub05,ling_phone_dis,29,0.10374908126617971
120,sub05,ling_word_target,30,-0.005733392291436822
121,sub05,ling_word_dis,30,-0.16089037016403418
122,sub05,ling_phone_target,30,-0.13474745045120126
123,sub05,ling_phone_dis,30,-0.011797934417609278
124,sub05,ling_word_target,31,0.0017228737444386069
125,sub05,ling_word_dis,31,-0.003303375299794226
126,sub05,ling_phone_target,31,-0.015426874312423764
127,sub05,ling_phone_dis,31,0.23477657150556736
128,sub05,ling_word_target,32,-0.008061489324816677
129,sub05,ling_word_dis,32,-0.07807867303880311
130,sub05,ling_phone_target,32,0.0765421612216409
131,sub05,ling_phone_dis,32,0.008803732931106787
132,sub05,ling_word_target,33,-0.016575262167561722
133,sub05,ling_word_dis,33,-0.03581524448164343
134,sub05,ling_phone_target,33,0.003253998810200753
135,sub05,ling_phone_dis,33,0.0503720799755615
136,sub05,ling_word_target,34,0.07766964203625006
137,sub05,ling_word_dis,34,-0.08210733150104821
138,sub05,ling_phone_target,34,0.05450277676836595
139,sub05,ling_phone_dis,34,-0.06258010278421171
140,sub05,ling_word_target,35,-0.18980191277647293
141,sub05,ling_word_dis,35,-0.0322603022072109
142,sub05,ling_phone_target,35,0.0032107158483839476
143,sub05,ling_phone_dis,35,0.031062064677652546
144,sub05,ling_word_target,36,-0.035805257079822274
145,sub05,ling_word_dis,36,-0.012457164198304178
146,sub05,ling_phone_target,36,0.04919922092967226
147,sub05,ling_phone_dis,36,0.007005447111508004
148,sub05,ling_word_target,37,0.04404626364924889
149,sub05,ling_word_dis,37,0.032363346844150896
150,sub05,ling_phone_target,37,-0.01679119007595419
151,sub05,ling_phone_dis,37,-0.03249310476149016
152,sub05,ling_word_target,38,-0.0777159582045838
153,sub05,ling_word_dis,38,0.06398817842252755
154,sub05,ling_phone_target,38,-0.07514329669728109
155,sub05,ling_phone_dis,38,0.016965561578859728
156,sub05,ling_word_target,39,-0.0002365788364907483
157,sub05,ling_word_dis,39,0.08437577544439277
158,sub05,ling_phone_target,39,-0.027941074904525357
159,sub05,ling_phone_dis,39,-0.07375470334927285
160,sub05,ling_word_target,40,-0.005533811695524256
161,sub05,ling_word_dis,40,-0.11108522840812565
162,sub05,ling_phone_target,40,-0.09001030910181847
163,sub05,ling_phone_dis,40,-0.1591649999026562
164,sub05,ling_word_target,41,-0.12276490497656666
165,sub05,ling_word_dis,41,-0.07136958913665342
166,sub05,ling_phone_target,41,0.06605014289480873
167,sub05,ling_phone_dis,41,-0.06358795461569111
168,sub05,ling_word_target,42,-0.002172343394462571
169,sub05,ling_word_dis,42,-0.042736835066897995
170,sub05,ling_phone_target,42,0.007086678087733161
171,sub05,ling_phone_dis,42,-0.06007019436737187
172,sub05,ling_word_target,43,0.004588018041890133
173,sub05,ling_word_dis,43,0.10371306435092953
174,sub05,ling_phone_target,43,-0.04779086991884645
175,sub05,ling_phone_dis,43,-0.06300859433678054
176,sub05,ling_word_target,44,0.061298857050592084
177,sub05,ling_word_dis,44,-0.00296650103682513
178,sub05,ling_phone_target,44,0.009813509701604831
179,sub05,ling_phone_dis,44,0.049699562942991764
180,sub05,ling_word_target,45,0.01844315013399476
181,sub05,ling_word_dis,45,-0.04459475045530754
182,sub05,ling_phone_target,45,0.04326877950294114
183,sub05,ling_phone_dis,45,-0.0598001282204866
184,sub05,ling_word_target,46,0.021833605374139003
185,sub05,ling_word_dis,46,-0.06072838879605677
186,sub05,ling_phone_target,46,-0.061076089884022154
187,sub05,ling_phone_dis,46,-0.09729615467555475
188,sub05,ling_word_target,47,0.048727650513307845
189,sub05,ling_word_dis,47,0.03343904032028225
190,sub05,ling_phone_target,47,-0.04278847641763402
191,sub05,ling_phone_dis,47,0.048074016193478196
192,sub05,ling_word_target,48,0.03034752089028884
193,sub05,ling_word_dis,48,0.032568250686419484
194,sub05,ling_phone_target,48,0.02827546552576776
195,sub05,ling_phone_dis,48,0.10024657011411933
196,sub05,ling_word_target,49,0.003479880024126618
197,sub05,ling_word_dis,49,0.1457134799483287
198,sub05,ling_phone_target,49,0.08959988920309145
199,sub05,ling_phone_dis,49,0.02065199035485868
200,sub05,ling_word_target,50,-0.007979047442141736
201,sub05,ling_word_dis,50,0.050035988256281035
202,sub05,ling_phone_target,50,0.014738438029966133
203,sub05,ling_phone_dis,50,0.07372407426329991
204,sub05,ling_word_target,51,0.05463869158001416
205,sub05,ling_word_dis,51,-0.04904207863272401
206,sub05,ling_phone_target,51,0.0609487909173964
207,sub05,ling_phone_dis,51,-0.07425914433293763
208,sub05,ling_word_target,52,0.024391586109864884
209,sub05,ling_word_dis,52,-0.057513942663808215
210,sub05,ling_phone_target,52,0.0985042944116921
211,sub05,ling_phone_dis,52,0.012561094672419391
212,sub05,ling_word_target,53,0.010516708833202916
213,sub05,ling_word_dis,53,0.027959717211324165
214,sub05,ling_phone_target,53,-0.017687228776750562
215,sub05,ling_phone_dis,53,0.03347331672928521
