BEGIN;DURATION;TOKEN;MAU;MAS;ORT;KAN;TRO;MRP;KAS;SPK;TRN;SPD;VAD
0;1195;-1;(...);;;;;;;;;;
1196;2204;0;d;;Das;d a s;;;;;;;
3401;3527;0;a;;Das;d a s;;;;;;;
6929;4850;0;s;;Das;d a s;;;;;;;
11780;4850;1;t;;Tagebuch;t a: g @ b u: x;;;;;;;
16631;7055;1;aː;;Tagebuch;t a: g @ b u: x;;;;;;;
23687;2645;1;ɡ;;Tagebuch;t a: g @ b u: x;;;;;;;
26333;2645;1;ə;;Tagebuch;t a: g @ b u: x;;;;;;;
28979;2204;1;b;;Tagebuch;t a: g @ b u: x;;;;;;;
31184;6173;1;uː;;Tagebuch;t a: g @ b u: x;;;;;;;
37358;2204;1;x;;Tagebuch;t a: g @ b u: x;;;;;;;
39563;1322;2;ʔ;;erzählte;? E 6 ts E: l t @;;;;;;;
40886;3086;2;ɛ;;erzählte;? E 6 ts E: l t @;;;;;;;
43973;1763;2;ɐ;;erzählte;? E 6 ts E: l t @;;;;;;;
45737;6614;2;ts;;erzählte;? E 6 ts E: l t @;;;;;;;
52352;4850;2;ɛː;;erzählte;? E 6 ts E: l t @;;;;;;;
57203;1763;2;l;;erzählte;? E 6 ts E: l t @;;;;;;;
58967;3086;2;t;;erzählte;? E 6 ts E: l t @;;;;;;;
62054;2645;2;ə;;erzählte;? E 6 ts E: l t @;;;;;;;
64700;6614;3;f;;von;f O n;;;;;;;
71315;2645;3;ɔ;;von;f O n;;;;;;;
73961;2645;3;n;;von;f O n;;;;;;;
76607;3968;4;f;;vergangener;f E 6 g a N @ n 6;;;;;;;
80576;2204;4;ɛ;;vergangener;f E 6 g a N @ n 6;;;;;;;
82781;2204;4;ɐ;;vergangener;f E 6 g a N @ n 6;;;;;;;
84986;3527;4;ɡ;;vergangener;f E 6 g a N @ n 6;;;;;;;
88514;5732;4;a;;vergangener;f E 6 g a N @ n 6;;;;;;;
94247;1763;4;ŋ;;vergangener;f E 6 g a N @ n 6;;;;;;;
96011;1322;4;ə;;vergangener;f E 6 g a N @ n 6;;;;;;;
97334;5291;4;n;;vergangener;f E 6 g a N @ n 6;;;;;;;
102626;4409;4;ɐ;;vergangener;f E 6 g a N @ n 6;;;;;;;
107036;5291;5;l;;Liebe;l i: b @;;;;;;;
112328;6173;5;iː;;Liebe;l i: b @;;;;;;;
118502;3086;5;b;;Liebe;l i: b @;;;;;;;
121589;9701;5;ə;;Liebe;l i: b @;;;;;;;
131291;1322;6;ʔ;;und;? U n t;;;;;;;
132614;3086;6;ʊ;;und;? U n t;;;;;;;
135701;1322;6;n;;und;? U n t;;;;;;;
137024;1322;6;t;;und;? U n t;;;;;;;
138347;5291;7;f;;Verlust;f E 6 l U s t;;;;;;;
143639;3086;7;ɛ;;Verlust;f E 6 l U s t;;;;;;;
146726;1763;7;ɐ;;Verlust;f E 6 l U s t;;;;;;;
148490;1763;7;l;;Verlust;f E 6 l U s t;;;;;;;
150254;7055;7;ʊ;;Verlust;f E 6 l U s t;;;;;;;
157310;8819;7;s;;Verlust;f E 6 l U s t;;;;;;;
166130;3968;7;t;;Verlust;f E 6 l U s t;;;;;;;
170099;6028;-1;(...);;;;;;;;;;
