BEGIN;DURATION;TOKEN;MAU;MAS;ORT;KAN;TRO;MRP;KAS;SPK;TRN;SPD;VAD
0;2518;0;d;;Der;d e: 6;;;;;;;
2519;3086;0;eː;;Der;d e: 6;;;;;;;
5606;2204;0;ɐ;;Der;d e: 6;;;;;;;
7811;6614;1;ts;;zuverlässige;ts u f E 6 l U E s I g @;;;;;;;
14426;4409;1;u;;zuverlässige;ts u f E 6 l U E s I g @;;;;;;;
18836;3968;1;f;;zuverlässige;ts u f E 6 l U E s I g @;;;;;;;
22805;2645;1;ɛ;;zuverlässige;ts u f E 6 l U E s I g @;;;;;;;
25451;1322;1;ɐ;;zuverlässige;ts u f E 6 l U E s I g @;;;;;;;
26774;1322;1;l;;zuverlässige;ts u f E 6 l U E s I g @;;;;;;;
28097;1322;1;ʊ;;zuverlässige;ts u f E 6 l U E s I g @;;;;;;;
29420;3968;1;ɛ;;zuverlässige;ts u f E 6 l U E s I g @;;;;;;;
33389;4409;1;s;;zuverlässige;ts u f E 6 l U E s I g @;;;;;;;
37799;3968;1;ɪ;;zuverlässige;ts u f E 6 l U E s I g @;;;;;;;
41768;2645;1;ɡ;;zuverlässige;ts u f E 6 l U E s I g @;;;;;;;
44414;2645;1;ə;;zuverlässige;ts u f E 6 l U E s I g @;;;;;;;
47060;4409;2;b;;Bus;b U s;;;;;;;
51470;6614;2;ʊ;;Bus;b U s;;;;;;;
58085;7496;2;s;;Bus;b U s;;;;;;;
65582;3968;3;b;;bringt;b r I N t;;;;;;;
69551;2645;3;r;;bringt;b r I N t;;;;;;;
72197;3968;3;ɪ;;bringt;b r I N t;;;;;;;
76166;1322;3;ŋ;;bringt;b r I N t;;;;;;;
77489;1322;3;t;;bringt;b r I N t;;;;;;;
78812;2204;4;d;;die;d i:;;;;;;;
81017;3527;4;iː;;die;d i:;;;;;;;
84545;4409;5;p;;Passagiere;p a s a Z i: r @;;;;;;;
88955;3527;5;a;;Passagiere;p a s a Z i: r @;;;;;;;
92483;1322;5;s;;Passagiere;p a s a Z i: r @;;;;;;;
93806;6614;5;a;;Passagiere;p a s a Z i: r @;;;;;;;
100421;1322;5;ʒ;;Passagiere;p a s a Z i: r @;;;;;;;
101744;8819;5;iː;;Passagiere;p a s a Z i: r @;;;;;;;
110564;2645;5;r;;Passagiere;p a s a Z i: r @;;;;;;;
113210;3968;5;ə;;Passagiere;p a s a Z i: r @;;;;;;;
117179;6173;6;z;;sicher;z I C 6;;;;;;;
123353;2645;6;ɪ;;sicher;z I C 6;;;;;;;
125999;2204;6;ç;;sicher;z I C 6;;;;;;;
128204;1322;6;ɐ;;sicher;z I C 6;;;;;;;
129527;2645;7;ʔ;;ans;? a n s;;;;;;;
132173;8819;7;a;;ans;? a n s;;;;;;;
140993;2204;7;n;;ans;? a n s;;;;;;;
143198;5732;7;s;;ans;? a n s;;;;;;;
148931;7055;8;ts;;Ziel;ts i: l;;;;;;;
155987;9260;8;iː;;Ziel;ts i: l;;;;;;;
165248;8378;8;l;;Ziel;ts i: l;;;;;;;
173627;4548;-1;(...);;;;;;;;;;
