BEGIN;DURATION;TOKEN;MAU;MAS;ORT;KAN;TRO;MRP;KAS;SPK;TRN;SPD;VAD
0;2077;-1;(...);;;;;;;;;;
2078;2645;0;ʔ;;Er;? E 6;;;;;;;
4724;3086;0;ɛ;;Er;? E 6;;;;;;;
7811;1322;0;ɐ;;Er;? E 6;;;;;;;
9134;1322;1;ʔ;;ist;? I s t;;;;;;;
10457;3086;1;ɪ;;ist;? I s t;;;;;;;
13544;2645;1;s;;ist;? I s t;;;;;;;
16190;1763;1;t;;ist;? I s t;;;;;;;
17954;2204;2;ts;;zwar;ts v a: r;;;;;;;
20159;3086;2;v;;zwar;ts v a: r;;;;;;;
23246;4409;2;aː;;zwar;ts v a: r;;;;;;;
27656;1322;2;r;;zwar;ts v a: r;;;;;;;
28979;3968;3;k;;kein;k aI n;;;;;;;
32948;3527;3;aɪ;;kein;k aI n;;;;;;;
36476;3086;3;n;;kein;k aI n;;;;;;;
39563;3527;4;ʒ;;Genie;Z E n i:;;;;;;;
43091;4409;4;ɛ;;Genie;Z E n i:;;;;;;;
47501;3968;4;n;;Genie;Z E n i:;;;;;;;
51470;15875;4;iː;;Genie;Z E n i:;;;;;;;
67346;5732;5;ʔ;;aber;? a: b 6;;;;;;;
73079;3086;5;aː;;aber;? a: b 6;;;;;;;
76166;2645;5;b;;aber;? a: b 6;;;;;;;
78812;4409;5;ɐ;;aber;? a: b 6;;;;;;;
83222;3527;6;d;;doch;d O x;;;;;;;
86750;3086;6;ɔ;;doch;d O x;;;;;;;
89837;1763;6;x;;doch;d O x;;;;;;;
91601;1322;7;ʔ;;ein;? aI n;;;;;;;
92924;4409;7;aɪ;;ein;? aI n;;;;;;;
97334;2645;7;n;;ein;? aI n;;;;;;;
99980;5732;8;f;;fähiger;f E: I g 6;;;;;;;
105713;8378;8;ɛː;;fähiger;f E: I g 6;;;;;;;
114092;2645;8;ɪ;;fähiger;f E: I g 6;;;;;;;
116738;2645;8;ɡ;;fähiger;f E: I g 6;;;;;;;
119384;3968;8;ɐ;;fähiger;f E: I g 6;;;;;;;
123353;1322;9;ʔ;;Ingenieur;? I n Z @ n j 2: 6;;;;;;;
124676;1763;9;ɪ;;Ingenieur;? I n Z @ n j 2: 6;;;;;;;
126440;4850;9;n;;Ingenieur;? I n Z @ n j 2: 6;;;;;;;
131291;1322;9;ʒ;;Ingenieur;? I n Z @ n j 2: 6;;;;;;;
132614;3968;9;ə;;Ingenieur;? I n Z @ n j 2: 6;;;;;;;
136583;3527;9;n;;Ingenieur;? I n Z @ n j 2: 6;;;;;;;
140111;1322;9;j;;Ingenieur;? I n Z @ n j 2: 6;;;;;;;
141434;1763;9;øː;;Ingenieur;? I n Z @ n j 2: 6;;;;;;;
143198;14111;9;ɐ;;Ingenieur;? I n Z @ n j 2: 6;;;;;;;
157310;4993;-1;(...);;;;;;;;;;
