BEGIN;DURATION;TOKEN;MAU;MAS;ORT;KAN;TRO;MRP;KAS;SPK;TRN;SPD;VAD
0;3400;-1;(...);;;;;;;;;;
3401;2204;0;d;;Die;d i:;;;;;;;
5606;3968;0;iː;;Die;d i:;;;;;;;
9575;6614;1;f;;Vögel;f 2: g @ l;;;;;;;
16190;7055;1;øː;;Vögel;f 2: g @ l;;;;;;;
23246;2645;1;ɡ;;Vögel;f 2: g @ l;;;;;;;
25892;1322;1;ə;;Vögel;f 2: g @ l;;;;;;;
27215;3086;1;l;;Vögel;f 2: g @ l;;;;;;;
30302;4850;2;ʃ;;schwirrten;S v i r t @ n;;;;;;;
35153;3968;2;v;;schwirrten;S v i r t @ n;;;;;;;
39122;3968;2;i;;schwirrten;S v i r t @ n;;;;;;;
43091;1322;2;r;;schwirrten;S v i r t @ n;;;;;;;
44414;6614;2;t;;schwirrten;S v i r t @ n;;;;;;;
51029;3086;2;ə;;schwirrten;S v i r t @ n;;;;;;;
54116;1763;2;n;;schwirrten;S v i r t @ n;;;;;;;
55880;1322;3;ʔ;;um;? U m;;;;;;;
57203;1322;3;ʊ;;um;? U m;;;;;;;
58526;4409;3;m;;um;? U m;;;;;;;
62936;1763;4;d;;den;d e: n;;;;;;;
64700;3086;4;eː;;den;d e: n;;;;;;;
67787;2204;4;n;;den;d e: n;;;;;;;
69992;3527;5;h;;heruntergefallenen;h E r U n t 6 g @ f a l @ n @ n;;;;;;;
73520;2645;5;ɛ;;heruntergefallenen;h E r U n t 6 g @ f a l @ n @ n;;;;;;;
76166;1763;5;r;;heruntergefallenen;h E r U n t 6 g @ f a l @ n @ n;;;;;;;
77930;5291;5;ʊ;;heruntergefallenen;h E r U n t 6 g @ f a l @ n @ n;;;;;;;
83222;1322;5;n;;heruntergefallenen;h E r U n t 6 g @ f a l @ n @ n;;;;;;;
84545;4409;5;t;;heruntergefallenen;h E r U n t 6 g @ f a l @ n @ n;;;;;;;
88955;2645;5;ɐ;;heruntergefallenen;h E r U n t 6 g @ f a l @ n @ n;;;;;;;
91601;2645;5;ɡ;;heruntergefallenen;h E r U n t 6 g @ f a l @ n @ n;;;;;;;
94247;1763;5;ə;;heruntergefallenen;h E r U n t 6 g @ f a l @ n @ n;;;;;;;
96011;7055;5;f;;heruntergefallenen;h E r U n t 6 g @ f a l @ n @ n;;;;;;;
103067;4409;5;a;;heruntergefallenen;h E r U n t 6 g @ f a l @ n @ n;;;;;;;
107477;3527;5;l;;heruntergefallenen;h E r U n t 6 g @ f a l @ n @ n;;;;;;;
111005;1322;5;ə;;heruntergefallenen;h E r U n t 6 g @ f a l @ n @ n;;;;;;;
112328;2204;5;n;;heruntergefallenen;h E r U n t 6 g @ f a l @ n @ n;;;;;;;
114533;2645;5;ə;;heruntergefallenen;h E r U n t 6 g @ f a l @ n @ n;;;;;;;
117179;3527;5;n;;heruntergefallenen;h E r U n t 6 g @ f a l @ n @ n;;;;;;;
120707;2645;6;ʔ;;Apfel;? a p f @ l;;;;;;;
123353;3086;6;a;;Apfel;? a p f @ l;;;;;;;
126440;6614;6;p;;Apfel;? a p f @ l;;;;;;;
133055;1763;6;f;;Apfel;? a p f @ l;;;;;;;
134819;2204;6;ə;;Apfel;? a p f @ l;;;;;;;
137024;2645;6;l;;Apfel;? a p f @ l;;;;;;;
139670;3968;7;h;;herum;h E r U m;;;;;;;
143639;2645;7;ɛ;;herum;h E r U m;;;;;;;
146285;3527;7;r;;herum;h E r U m;;;;;;;
149813;6173;7;ʊ;;herum;h E r U m;;;;;;;
155987;8378;7;m;;herum;h E r U m;;;;;;;
164366;7665;-1;(...);;;;;;;;;;
