BEGIN;DURATION;TOKEN;MAU;MAS;ORT;KAN;TRO;MRP;KAS;SPK;TRN;SPD;VAD
0;1195;-1;(...);;;;;;;;;;
1196;3086;0;d;;Die;d i:;;;;;;;
4283;3086;0;iː;;Die;d i:;;;;;;;
7370;3968;1;l;;Linguistik;l I N g u I s t I k;;;;;;;
11339;3086;1;ɪ;;Linguistik;l I N g u I s t I k;;;;;;;
14426;2645;1;ŋ;;Linguistik;l I N g u I s t I k;;;;;;;
17072;1763;1;ɡ;;Linguistik;l I N g u I s t I k;;;;;;;
18836;4409;1;u;;Linguistik;l I N g u I s t I k;;;;;;;
23246;4850;1;ɪ;;Linguistik;l I N g u I s t I k;;;;;;;
28097;3527;1;s;;Linguistik;l I N g u I s t I k;;;;;;;
31625;4409;1;t;;Linguistik;l I N g u I s t I k;;;;;;;
36035;4850;1;ɪ;;Linguistik;l I N g u I s t I k;;;;;;;
40886;3527;1;k;;Linguistik;l I N g u I s t I k;;;;;;;
44414;1322;2;ʔ;;erforscht;? E r f O 6 z I C t;;;;;;;
45737;5291;2;ɛ;;erforscht;? E r f O 6 z I C t;;;;;;;
51029;1322;2;r;;erforscht;? E r f O 6 z I C t;;;;;;;
52352;3527;2;f;;erforscht;? E r f O 6 z I C t;;;;;;;
55880;1322;2;ɔ;;erforscht;? E r f O 6 z I C t;;;;;;;
57203;1322;2;ɐ;;erforscht;? E r f O 6 z I C t;;;;;;;
58526;1322;2;z;;erforscht;? E r f O 6 z I C t;;;;;;;
59849;1322;2;ɪ;;erforscht;? E r f O 6 z I C t;;;;;;;
61172;2204;2;ç;;erforscht;? E r f O 6 z I C t;;;;;;;
63377;1763;2;t;;erforscht;? E r f O 6 z I C t;;;;;;;
65141;2645;3;d;;die;d i:;;;;;;;
67787;2204;3;iː;;die;d i:;;;;;;;
69992;3086;4;ʃ;;Struktur;S t r U k t u: 6;;;;;;;
73079;2204;4;t;;Struktur;S t r U k t u: 6;;;;;;;
75284;2645;4;r;;Struktur;S t r U k t u: 6;;;;;;;
77930;2204;4;ʊ;;Struktur;S t r U k t u: 6;;;;;;;
80135;3086;4;k;;Struktur;S t r U k t u: 6;;;;;;;
83222;5732;4;t;;Struktur;S t r U k t u: 6;;;;;;;
88955;4409;4;uː;;Struktur;S t r U k t u: 6;;;;;;;
93365;5291;4;ɐ;;Struktur;S t r U k t u: 6;;;;;;;
98657;1322;5;ʔ;;und;? U n t;;;;;;;
99980;2645;5;ʊ;;und;? U n t;;;;;;;
102626;2204;5;n;;und;? U n t;;;;;;;
104831;1763;5;t;;und;? U n t;;;;;;;
106595;1322;6;ʔ;;Entwicklung;? E n t v I k l U N;;;;;;;
107918;2204;6;ɛ;;Entwicklung;? E n t v I k l U N;;;;;;;
110123;3086;6;n;;Entwicklung;? E n t v I k l U N;;;;;;;
113210;1322;6;t;;Entwicklung;? E n t v I k l U N;;;;;;;
114533;3086;6;v;;Entwicklung;? E n t v I k l U N;;;;;;;
117620;2204;6;ɪ;;Entwicklung;? E n t v I k l U N;;;;;;;
119825;3527;6;k;;Entwicklung;? E n t v I k l U N;;;;;;;
123353;1763;6;l;;Entwicklung;? E n t v I k l U N;;;;;;;
125117;3527;6;ʊ;;Entwicklung;? E n t v I k l U N;;;;;;;
128645;1322;6;ŋ;;Entwicklung;? E n t v I k l U N;;;;;;;
129968;5732;7;f;;von;f O n;;;;;;;
135701;2645;7;ɔ;;von;f O n;;;;;;;
138347;2204;7;n;;von;f O n;;;;;;;
140552;4409;8;ʃ;;Sprachen;S p r a: x @ n;;;;;;;
144962;3086;8;p;;Sprachen;S p r a: x @ n;;;;;;;
148049;4850;8;r;;Sprachen;S p r a: x @ n;;;;;;;
152900;7496;8;aː;;Sprachen;S p r a: x @ n;;;;;;;
160397;6173;8;x;;Sprachen;S p r a: x @ n;;;;;;;
166571;5732;8;ə;;Sprachen;S p r a: x @ n;;;;;;;
172304;2204;8;n;;Sprachen;S p r a: x @ n;;;;;;;
174509;3666;-1;(...);;;;;;;;;;
