BEGIN;DURATION;TOKEN;MAU;MAS;ORT;KAN;TRO;MRP;KAS;SPK;TRN;SPD;VAD
0;4282;0;d;;Die;d i:;;;;;;;
4283;5732;0;iː;;Die;d i:;;;;;;;
10016;2204;1;r;;Reisenden;r aI z @ n d @ n;;;;;;;
12221;8378;1;aɪ;;Reisenden;r aI z @ n d @ n;;;;;;;
20600;3968;1;z;;Reisenden;r aI z @ n d @ n;;;;;;;
24569;3086;1;ə;;Reisenden;r aI z @ n d @ n;;;;;;;
27656;1322;1;n;;Reisenden;r aI z @ n d @ n;;;;;;;
28979;2204;1;d;;Reisenden;r aI z @ n d @ n;;;;;;;
31184;2645;1;ə;;Reisenden;r aI z @ n d @ n;;;;;;;
33830;4409;1;n;;Reisenden;r aI z @ n d @ n;;;;;;;
38240;1763;2;b;;betraten;b @ t r a: t @ n;;;;;;;
40004;1763;2;ə;;betraten;b @ t r a: t @ n;;;;;;;
41768;5732;2;t;;betraten;b @ t r a: t @ n;;;;;;;
47501;3086;2;r;;betraten;b @ t r a: t @ n;;;;;;;
50588;5291;2;aː;;betraten;b @ t r a: t @ n;;;;;;;
55880;4409;2;t;;betraten;b @ t r a: t @ n;;;;;;;
60290;3968;2;ə;;betraten;b @ t r a: t @ n;;;;;;;
64259;1763;2;n;;betraten;b @ t r a: t @ n;;;;;;;
66023;1322;3;ʔ;;einen;? aI n @ n;;;;;;;
67346;6173;3;aɪ;;einen;? aI n @ n;;;;;;;
73520;1322;3;n;;einen;? aI n @ n;;;;;;;
74843;2645;3;ə;;einen;? aI n @ n;;;;;;;
77489;1322;3;n;;einen;? aI n @ n;;;;;;;
78812;2204;4;m;;mysteriösen;m Y s t @ r i: 2: z @ n;;;;;;;
81017;1322;4;ʏ;;mysteriösen;m Y s t @ r i: 2: z @ n;;;;;;;
82340;3527;4;s;;mysteriösen;m Y s t @ r i: 2: z @ n;;;;;;;
85868;4409;4;t;;mysteriösen;m Y s t @ r i: 2: z @ n;;;;;;;
90278;4409;4;ə;;mysteriösen;m Y s t @ r i: 2: z @ n;;;;;;;
94688;1763;4;r;;mysteriösen;m Y s t @ r i: 2: z @ n;;;;;;;
96452;8819;4;iː;;mysteriösen;m Y s t @ r i: 2: z @ n;;;;;;;
105272;2204;4;øː;;mysteriösen;m Y s t @ r i: 2: z @ n;;;;;;;
107477;3527;4;z;;mysteriösen;m Y s t @ r i: 2: z @ n;;;;;;;
111005;1763;4;ə;;mysteriösen;m Y s t @ r i: 2: z @ n;;;;;;;
112769;2204;4;n;;mysteriösen;m Y s t @ r i: 2: z @ n;;;;;;;
114974;2204;5;p;;Pfad;p f a: t;;;;;;;
117179;3968;5;f;;Pfad;p f a: t;;;;;;;
121148;10583;5;aː;;Pfad;p f a: t;;;;;;;
131732;4409;5;t;;Pfad;p f a: t;;;;;;;
136142;1763;6;ʔ;;im;? I m;;;;;;;
137906;2204;6;ɪ;;im;? I m;;;;;;;
140111;5291;6;m;;im;? I m;;;;;;;
145403;2204;7;v;;Wald;v a l t;;;;;;;
147608;6173;7;a;;Wald;v a l t;;;;;;;
153782;7496;7;l;;Wald;v a l t;;;;;;;
161279;6614;7;t;;Wald;v a l t;;;;;;;
167894;3113;-1;(...);;;;;;;;;;
