BEGIN;DURATION;TOKEN;MAU;MAS;ORT;KAN;TRO;MRP;KAS;SPK;TRN;SPD;VAD
0;2518;0;ʔ;;Ein;? aI n;;;;;;;
2519;3968;0;aɪ;;Ein;? aI n;;;;;;;
6488;2204;0;n;;Ein;? aI n;;;;;;;
8693;3086;1;l;;leises;l aI z @ s;;;;;;;
11780;8378;1;aɪ;;leises;l aI z @ s;;;;;;;
20159;3086;1;z;;leises;l aI z @ s;;;;;;;
23246;2204;1;ə;;leises;l aI z @ s;;;;;;;
25451;6614;1;s;;leises;l aI z @ s;;;;;;;
32066;3086;2;v;;Wispern;v I s p 6 n;;;;;;;
35153;3527;2;ɪ;;Wispern;v I s p 6 n;;;;;;;
38681;6173;2;s;;Wispern;v I s p 6 n;;;;;;;
44855;4409;2;p;;Wispern;v I s p 6 n;;;;;;;
49265;3968;2;ɐ;;Wispern;v I s p 6 n;;;;;;;
53234;6173;2;n;;Wispern;v I s p 6 n;;;;;;;
59408;2204;3;d;;dringt;d r I N t;;;;;;;
61613;1763;3;r;;dringt;d r I N t;;;;;;;
63377;3086;3;ɪ;;dringt;d r I N t;;;;;;;
66464;1763;3;ŋ;;dringt;d r I N t;;;;;;;
68228;3527;3;t;;dringt;d r I N t;;;;;;;
71756;1322;4;ʔ;;aus;? aU s;;;;;;;
73079;4409;4;aʊ;;aus;? aU s;;;;;;;
77489;1763;4;s;;aus;? aU s;;;;;;;
79253;3086;5;d;;dem;d e: m;;;;;;;
82340;2204;5;eː;;dem;d e: m;;;;;;;
84545;3086;5;m;;dem;d e: m;;;;;;;
87632;1322;6;ʔ;;alten;? a l t @ n;;;;;;;
88955;3968;6;a;;alten;? a l t @ n;;;;;;;
92924;3527;6;l;;alten;? a l t @ n;;;;;;;
96452;4850;6;t;;alten;? a l t @ n;;;;;;;
101303;3086;6;ə;;alten;? a l t @ n;;;;;;;
104390;1322;6;n;;alten;? a l t @ n;;;;;;;
105713;2645;7;b;;Bücherregal;b y: C 6 r e g a: l;;;;;;;
108359;4409;7;yː;;Bücherregal;b y: C 6 r e g a: l;;;;;;;
112769;6173;7;ç;;Bücherregal;b y: C 6 r e g a: l;;;;;;;
118943;4409;7;ɐ;;Bücherregal;b y: C 6 r e g a: l;;;;;;;
123353;1763;7;r;;Bücherregal;b y: C 6 r e g a: l;;;;;;;
125117;4409;7;e;;Bücherregal;b y: C 6 r e g a: l;;;;;;;
129527;2645;7;ɡ;;Bücherregal;b y: C 6 r e g a: l;;;;;;;
132173;11906;7;aː;;Bücherregal;b y: C 6 r e g a: l;;;;;;;
144080;6614;7;l;;Bücherregal;b y: C 6 r e g a: l;;;;;;;
150695;4440;-1;(...);;;;;;;;;;
