BEGIN;DURATION;TOKEN;MAU;MAS;ORT;KAN;TRO;MRP;KAS;SPK;TRN;SPD;VAD
0;2518;0;ʔ;;Im;? I m;;;;;;;
2519;1763;0;ɪ;;Im;? I m;;;;;;;
4283;4409;0;m;;Im;? I m;;;;;;;
8693;3086;1;h;;Hinterhof;h I n t 6 h o: f;;;;;;;
11780;2645;1;ɪ;;Hinterhof;h I n t 6 h o: f;;;;;;;
14426;3086;1;n;;Hinterhof;h I n t 6 h o: f;;;;;;;
17513;4409;1;t;;Hinterhof;h I n t 6 h o: f;;;;;;;
21923;5291;1;ɐ;;Hinterhof;h I n t 6 h o: f;;;;;;;
27215;1763;1;h;;Hinterhof;h I n t 6 h o: f;;;;;;;
28979;7496;1;oː;;Hinterhof;h I n t 6 h o: f;;;;;;;
36476;3527;1;f;;Hinterhof;h I n t 6 h o: f;;;;;;;
40004;2204;-1;(...);;;;;;;;;;
42209;3086;2;b;;blühen;b l y: @ n;;;;;;;
45296;2204;2;l;;blühen;b l y: @ n;;;;;;;
47501;2204;2;yː;;blühen;b l y: @ n;;;;;;;
49706;1763;2;ə;;blühen;b l y: @ n;;;;;;;
51470;3086;2;n;;blühen;b l y: @ n;;;;;;;
54557;6173;3;f;;versteckte;f 6 S t E k t @;;;;;;;
60731;2204;3;ɐ;;versteckte;f 6 S t E k t @;;;;;;;
62936;4850;3;ʃ;;versteckte;f 6 S t E k t @;;;;;;;
67787;3086;3;t;;versteckte;f 6 S t E k t @;;;;;;;
70874;2645;3;ɛ;;versteckte;f 6 S t E k t @;;;;;;;
73520;3968;3;k;;versteckte;f 6 S t E k t @;;;;;;;
77489;3527;3;t;;versteckte;f 6 S t E k t @;;;;;;;
81017;5291;3;ə;;versteckte;f 6 S t E k t @;;;;;;;
86309;3527;4;b;;Blumen;b l u: m @ n;;;;;;;
89837;1322;4;l;;Blumen;b l u: m @ n;;;;;;;
91160;5732;4;uː;;Blumen;b l u: m @ n;;;;;;;
96893;1322;4;m;;Blumen;b l u: m @ n;;;;;;;
98216;5732;4;ə;;Blumen;b l u: m @ n;;;;;;;
103949;1322;4;n;;Blumen;b l u: m @ n;;;;;;;
105272;1322;5;ʔ;;in;? I n;;;;;;;
106595;2204;5;ɪ;;in;? I n;;;;;;;
108800;3968;5;n;;in;? I n;;;;;;;
112769;6614;6;f;;voller;f O l 6;;;;;;;
119384;3527;6;ɔ;;voller;f O l 6;;;;;;;
122912;3086;6;l;;voller;f O l 6;;;;;;;
125999;3968;6;ɐ;;voller;f O l 6;;;;;;;
129968;4409;7;p;;Pracht;p r a x t;;;;;;;
134378;5291;7;r;;Pracht;p r a x t;;;;;;;
139670;5732;7;a;;Pracht;p r a x t;;;;;;;
145403;8378;7;x;;Pracht;p r a x t;;;;;;;
153782;4850;7;t;;Pracht;p r a x t;;;;;;;
158633;3158;-1;(...);;;;;;;;;;
