BEGIN;DURATION;TOKEN;MAU;MAS;ORT;KAN;TRO;MRP;KAS;SPK;TRN;SPD;VAD
0;1195;-1;(...);;;;;;;;;;
1196;2645;0;ʔ;;Ein;? aI n;;;;;;;
3842;3968;0;aɪ;;Ein;? aI n;;;;;;;
7811;1763;0;n;;Ein;? aI n;;;;;;;
9575;5732;1;f;;verlorener;f 6 l o: r e: n 6;;;;;;;
15308;2204;1;ɐ;;verlorener;f 6 l o: r e: n 6;;;;;;;
17513;3968;1;l;;verlorener;f 6 l o: r e: n 6;;;;;;;
21482;7937;1;oː;;verlorener;f 6 l o: r e: n 6;;;;;;;
29420;1763;1;r;;verlorener;f 6 l o: r e: n 6;;;;;;;
31184;1763;1;eː;;verlorener;f 6 l o: r e: n 6;;;;;;;
32948;1763;1;n;;verlorener;f 6 l o: r e: n 6;;;;;;;
34712;7055;1;ɐ;;verlorener;f 6 l o: r e: n 6;;;;;;;
41768;4850;2;ʃ;;Schlüssel;S l Y s @ l;;;;;;;
46619;3968;2;l;;Schlüssel;S l Y s @ l;;;;;;;
50588;3527;2;ʏ;;Schlüssel;S l Y s @ l;;;;;;;
54116;5732;2;s;;Schlüssel;S l Y s @ l;;;;;;;
59849;9260;2;ə;;Schlüssel;S l Y s @ l;;;;;;;
69110;1322;2;l;;Schlüssel;S l Y s @ l;;;;;;;
70433;5732;3;ʔ;;öffnet;? 9 f n @ t;;;;;;;
76166;3527;3;œ;;öffnet;? 9 f n @ t;;;;;;;
79694;5291;3;f;;öffnet;? 9 f n @ t;;;;;;;
84986;2204;3;n;;öffnet;? 9 f n @ t;;;;;;;
87191;2645;3;ə;;öffnet;? 9 f n @ t;;;;;;;
89837;3747;3;t;;öffnet;? 9 f n @ t;;;;;;;
93585;5511;4;t;;Türen;t y: r @ n;;;;;;;
99097;7938;4;yː;;Türen;t y: r @ n;;;;;;;
107036;2204;4;r;;Türen;t y: r @ n;;;;;;;
109241;1763;4;ə;;Türen;t y: r @ n;;;;;;;
111005;3968;4;n;;Türen;t y: r @ n;;;;;;;
114974;5732;5;ts;;zu;ts u;;;;;;;
120707;2204;5;u;;zu;ts u;;;;;;;
122912;2204;6;ʔ;;unbekannten;? U n b @ k a n t @ n;;;;;;;
125117;4409;6;ʊ;;unbekannten;? U n b @ k a n t @ n;;;;;;;
129527;3527;6;n;;unbekannten;? U n b @ k a n t @ n;;;;;;;
133055;2204;6;b;;unbekannten;? U n b @ k a n t @ n;;;;;;;
135260;1322;6;ə;;unbekannten;? U n b @ k a n t @ n;;;;;;;
136583;7496;6;k;;unbekannten;? U n b @ k a n t @ n;;;;;;;
144080;3968;6;a;;unbekannten;? U n b @ k a n t @ n;;;;;;;
148049;2645;6;n;;unbekannten;? U n b @ k a n t @ n;;;;;;;
150695;4850;6;t;;unbekannten;? U n b @ k a n t @ n;;;;;;;
155546;3527;6;ə;;unbekannten;? U n b @ k a n t @ n;;;;;;;
159074;1322;6;n;;unbekannten;? U n b @ k a n t @ n;;;;;;;
160397;3527;7;v;;Welten;v E l t @ n;;;;;;;
163925;2645;7;ɛ;;Welten;v E l t @ n;;;;;;;
166571;9260;7;l;;Welten;v E l t @ n;;;;;;;
175832;5732;7;t;;Welten;v E l t @ n;;;;;;;
181565;11024;7;ə;;Welten;v E l t @ n;;;;;;;
192590;1322;7;n;;Welten;v E l t @ n;;;;;;;
193913;2182;-1;(...);;;;;;;;;;
