BEGIN;DURATION;TOKEN;MAU;MAS;ORT;KAN;TRO;MRP;KAS;SPK;TRN;SPD;VAD
0;3400;0;ʔ;;In;? I n;;;;;;;
3401;2204;0;ɪ;;In;? I n;;;;;;;
5606;2645;0;n;;In;? I n;;;;;;;
8252;1322;1;d;;der;d e: 6;;;;;;;
9575;3527;1;eː;;der;d e: 6;;;;;;;
13103;1322;1;ɐ;;der;d e: 6;;;;;;;
14426;2204;2;b;;Bibliothek;b i b l i o t e: k;;;;;;;
16631;5291;2;i;;Bibliothek;b i b l i o t e: k;;;;;;;
21923;1763;2;b;;Bibliothek;b i b l i o t e: k;;;;;;;
23687;1322;2;l;;Bibliothek;b i b l i o t e: k;;;;;;;
25010;7055;2;i;;Bibliothek;b i b l i o t e: k;;;;;;;
32066;2204;2;o;;Bibliothek;b i b l i o t e: k;;;;;;;
34271;7937;2;t;;Bibliothek;b i b l i o t e: k;;;;;;;
42209;12788;2;eː;;Bibliothek;b i b l i o t e: k;;;;;;;
54998;3527;2;k;;Bibliothek;b i b l i o t e: k;;;;;;;
58526;3527;-1;(...);;;;;;;;;;
62054;5291;3;l;;las;l a s;;;;;;;
67346;7937;3;a;;las;l a s;;;;;;;
75284;5291;3;s;;las;l a s;;;;;;;
80576;1763;4;z;;sie;z i:;;;;;;;
82340;3968;4;iː;;sie;z i:;;;;;;;
86309;1322;5;ʔ;;ein;? aI n;;;;;;;
87632;4850;5;aɪ;;ein;? aI n;;;;;;;
92483;2645;5;n;;ein;? aI n;;;;;;;
95129;5732;6;f;;fesselndes;f E s @ l n d @ s;;;;;;;
100862;3968;6;ɛ;;fesselndes;f E s @ l n d @ s;;;;;;;
104831;6614;6;s;;fesselndes;f E s @ l n d @ s;;;;;;;
111446;1322;6;ə;;fesselndes;f E s @ l n d @ s;;;;;;;
112769;3527;6;l;;fesselndes;f E s @ l n d @ s;;;;;;;
116297;3086;6;n;;fesselndes;f E s @ l n d @ s;;;;;;;
119384;1322;6;d;;fesselndes;f E s @ l n d @ s;;;;;;;
120707;1763;6;ə;;fesselndes;f E s @ l n d @ s;;;;;;;
122471;5291;6;s;;fesselndes;f E s @ l n d @ s;;;;;;;
127763;2204;-1;(...);;;;;;;;;;
129968;1763;7;b;;Buch;b u: x;;;;;;;
131732;11906;7;uː;;Buch;b u: x;;;;;;;
143639;1322;7;x;;Buch;b u: x;;;;;;;
144962;2493;-1;(...);;;;;;;;;;
