BEGIN;DURATION;TOKEN;MAU;MAS;ORT;KAN;TRO;MRP;KAS;SPK;TRN;SPD;VAD
0;1636;-1;(...);;;;;;;;;;
1637;2645;0;d;;Der;d e: 6;;;;;;;
4283;3968;0;eː;;Der;d e: 6;;;;;;;
8252;3527;0;ɐ;;Der;d e: 6;;;;;;;
11780;2204;1;ʔ;;einsame;? aI n z a: m @;;;;;;;
13985;7937;1;aɪ;;einsame;? aI n z a: m @;;;;;;;
21923;2645;1;n;;einsame;? aI n z a: m @;;;;;;;
24569;3527;1;z;;einsame;? aI n z a: m @;;;;;;;
28097;3527;1;aː;;einsame;? aI n z a: m @;;;;;;;
31625;3968;1;m;;einsame;? aI n z a: m @;;;;;;;
35594;1763;1;ə;;einsame;? aI n z a: m @;;;;;;;
37358;4850;2;l;;Leuchtturm;l OY t @;;;;;;;
42209;9260;2;ɔʏ;;Leuchtturm;l OY t @;;;;;;;
51470;13229;2;t;;Leuchtturm;l OY t @;;;;;;;
64700;14552;2;ə;;Leuchtturm;l OY t @;;;;;;;
79253;3968;3;m;;markierte;m a r k i: 6 t @;;;;;;;
83222;1322;3;a;;markierte;m a r k i: 6 t @;;;;;;;
84545;1322;3;r;;markierte;m a r k i: 6 t @;;;;;;;
85868;5732;3;k;;markierte;m a r k i: 6 t @;;;;;;;
91601;3527;3;iː;;markierte;m a r k i: 6 t @;;;;;;;
95129;1322;3;ɐ;;markierte;m a r k i: 6 t @;;;;;;;
96452;5732;3;t;;markierte;m a r k i: 6 t @;;;;;;;
102185;2204;3;ə;;markierte;m a r k i: 6 t @;;;;;;;
104390;2204;4;d;;das;d a s;;;;;;;
106595;3086;4;a;;das;d a s;;;;;;;
109682;4850;4;s;;das;d a s;;;;;;;
114533;1763;5;ʔ;;Ende;? E n d @;;;;;;;
116297;4850;5;ɛ;;Ende;? E n d @;;;;;;;
121148;4409;5;n;;Ende;? E n d @;;;;;;;
125558;1322;5;d;;Ende;? E n d @;;;;;;;
126881;3968;5;ə;;Ende;? E n d @;;;;;;;
130850;1322;6;ʔ;;ihrer;? i: r 6;;;;;;;
132173;4409;6;iː;;ihrer;? i: r 6;;;;;;;
136583;4409;6;r;;ihrer;? i: r 6;;;;;;;
140993;5732;6;ɐ;;ihrer;? i: r 6;;;;;;;
146726;2645;7;r;;Reise;r aI z @;;;;;;;
149372;12788;7;aɪ;;Reise;r aI z @;;;;;;;
162161;5732;7;z;;Reise;r aI z @;;;;;;;
167894;11024;7;ə;;Reise;r aI z @;;;;;;;
178919;5912;-1;(...);;;;;;;;;;
