BEGIN;DURATION;TOKEN;MAU;MAS;ORT;KAN;TRO;MRP;KAS;SPK;TRN;SPD;VAD
0;754;-1;(...);;;;;;;;;;
755;3527;0;d;;Das;d a s;;;;;;;
4283;1763;0;a;;Das;d a s;;;;;;;
6047;5291;0;s;;Das;d a s;;;;;;;
11339;3968;1;r;;Rätsel;r E: t s @ l;;;;;;;
15308;6173;1;ɛː;;Rätsel;r E: t s @ l;;;;;;;
21482;3086;1;t;;Rätsel;r E: t s @ l;;;;;;;
24569;4850;1;s;;Rätsel;r E: t s @ l;;;;;;;
29420;1763;1;ə;;Rätsel;r E: t s @ l;;;;;;;
31184;4409;1;l;;Rätsel;r E: t s @ l;;;;;;;
35594;2204;2;l;;löste;l 2: s t @;;;;;;;
37799;4409;2;øː;;löste;l 2: s t @;;;;;;;
42209;5291;2;s;;löste;l 2: s t @;;;;;;;
47501;2645;2;t;;löste;l 2: s t @;;;;;;;
50147;2645;2;ə;;löste;l 2: s t @;;;;;;;
52793;5291;3;z;;sich;z I C;;;;;;;
58085;4409;3;ɪ;;sich;z I C;;;;;;;
62495;4409;3;ç;;sich;z I C;;;;;;;
66905;4409;4;m;;mit;m I t;;;;;;;
71315;1322;4;ɪ;;mit;m I t;;;;;;;
72638;2645;4;t;;mit;m I t;;;;;;;
75284;2204;5;ʔ;;einem;? aI n @ m;;;;;;;
77489;4409;5;aɪ;;einem;? aI n @ m;;;;;;;
81899;1322;5;n;;einem;? aI n @ m;;;;;;;
83222;1322;5;ə;;einem;? aI n @ m;;;;;;;
84545;3968;5;m;;einem;? aI n @ m;;;;;;;
88514;2645;6;ʔ;;einfachen;? aI n f a x @ n;;;;;;;
91160;6614;6;aɪ;;einfachen;? aI n f a x @ n;;;;;;;
97775;3086;6;n;;einfachen;? aI n f a x @ n;;;;;;;
100862;4409;6;f;;einfachen;? aI n f a x @ n;;;;;;;
105272;3086;6;a;;einfachen;? aI n f a x @ n;;;;;;;
108359;3527;6;x;;einfachen;? aI n f a x @ n;;;;;;;
111887;2645;6;ə;;einfachen;? aI n f a x @ n;;;;;;;
114533;1763;6;n;;einfachen;? aI n f a x @ n;;;;;;;
116297;6173;7;ʃ;;Schlüssel;S l Y s @ l;;;;;;;
122471;2645;7;l;;Schlüssel;S l Y s @ l;;;;;;;
125117;3527;7;ʏ;;Schlüssel;S l Y s @ l;;;;;;;
128645;6614;7;s;;Schlüssel;S l Y s @ l;;;;;;;
135260;7055;7;ə;;Schlüssel;S l Y s @ l;;;;;;;
142316;1322;7;l;;Schlüssel;S l Y s @ l;;;;;;;
143639;5352;-1;(...);;;;;;;;;;
