BEGIN;DURATION;TOKEN;MAU;MAS;ORT;KAN;TRO;MRP;KAS;SPK;TRN;SPD;VAD
0;2959;0;d;;Die;d i:;;;;;;;
2960;5291;0;iː;;Die;d i:;;;;;;;
8252;3968;1;z;;Sonne;z O n @;;;;;;;
12221;5291;1;ɔ;;Sonne;z O n @;;;;;;;
17513;2204;1;n;;Sonne;z O n @;;;;;;;
19718;4409;1;ə;;Sonne;z O n @;;;;;;;
24128;7937;2;t;;tauchte;t aU x t @;;;;;;;
32066;5291;2;aʊ;;tauchte;t aU x t @;;;;;;;
37358;3086;2;x;;tauchte;t aU x t @;;;;;;;
40445;2645;2;t;;tauchte;t aU x t @;;;;;;;
43091;2645;2;ə;;tauchte;t aU x t @;;;;;;;
45737;1763;3;d;;die;d i:;;;;;;;
47501;3086;3;iː;;die;d i:;;;;;;;
50588;3968;4;ʃ;;Stadt;S t a t;;;;;;;
54557;3086;4;t;;Stadt;S t a t;;;;;;;
57644;4409;4;a;;Stadt;S t a t;;;;;;;
62054;3086;4;t;;Stadt;S t a t;;;;;;;
65141;1322;5;ʔ;;in;? I n;;;;;;;
66464;1763;5;ɪ;;in;? I n;;;;;;;
68228;4409;5;n;;in;? I n;;;;;;;
72638;3527;6;ɡ;;goldenes;g O l d @ n @ s;;;;;;;
76166;5291;6;ɔ;;goldenes;g O l d @ n @ s;;;;;;;
81458;3968;6;l;;goldenes;g O l d @ n @ s;;;;;;;
85427;1322;6;d;;goldenes;g O l d @ n @ s;;;;;;;
86750;1322;6;ə;;goldenes;g O l d @ n @ s;;;;;;;
88073;3086;6;n;;goldenes;g O l d @ n @ s;;;;;;;
91160;2204;6;ə;;goldenes;g O l d @ n @ s;;;;;;;
93365;4850;6;s;;goldenes;g O l d @ n @ s;;;;;;;
98216;3086;7;ʔ;;Abendlicht;? a: b @ n t l I C t;;;;;;;
101303;7055;7;aː;;Abendlicht;? a: b @ n t l I C t;;;;;;;
108359;1322;7;b;;Abendlicht;? a: b @ n t l I C t;;;;;;;
109682;2204;7;ə;;Abendlicht;? a: b @ n t l I C t;;;;;;;
111887;3086;7;n;;Abendlicht;? a: b @ n t l I C t;;;;;;;
114974;1322;7;t;;Abendlicht;? a: b @ n t l I C t;;;;;;;
116297;4409;7;l;;Abendlicht;? a: b @ n t l I C t;;;;;;;
120707;6173;7;ɪ;;Abendlicht;? a: b @ n t l I C t;;;;;;;
126881;4409;7;ç;;Abendlicht;? a: b @ n t l I C t;;;;;;;
131291;6614;7;t;;Abendlicht;? a: b @ n t l I C t;;;;;;;
137906;1869;-1;(...);;;;;;;;;;
