BEGIN;DURATION;TOKEN;MAU;MAS;ORT;KAN;TRO;MRP;KAS;SPK;TRN;SPD;VAD
0;754;-1;(...);;;;;;;;;;
755;2204;0;d;;Die;d i:;;;;;;;
2960;3968;0;iː;;Die;d i:;;;;;;;
6929;6614;1;m;;Morgenröte;m O 6 k @ n t r 2: t @;;;;;;;
13544;5732;1;ɔ;;Morgenröte;m O 6 k @ n t r 2: t @;;;;;;;
19277;3968;1;ɐ;;Morgenröte;m O 6 k @ n t r 2: t @;;;;;;;
23246;1763;1;k;;Morgenröte;m O 6 k @ n t r 2: t @;;;;;;;
25010;3968;1;ə;;Morgenröte;m O 6 k @ n t r 2: t @;;;;;;;
28979;1322;1;n;;Morgenröte;m O 6 k @ n t r 2: t @;;;;;;;
30302;1322;1;t;;Morgenröte;m O 6 k @ n t r 2: t @;;;;;;;
31625;2204;1;r;;Morgenröte;m O 6 k @ n t r 2: t @;;;;;;;
33830;5732;1;øː;;Morgenröte;m O 6 k @ n t r 2: t @;;;;;;;
39563;7055;1;t;;Morgenröte;m O 6 k @ n t r 2: t @;;;;;;;
46619;6173;1;ə;;Morgenröte;m O 6 k @ n t r 2: t @;;;;;;;
52793;8378;2;t;;taucht;t aU x t;;;;;;;
61172;5732;2;aʊ;;taucht;t aU x t;;;;;;;
66905;3527;2;x;;taucht;t aU x t;;;;;;;
70433;1322;2;t;;taucht;t aU x t;;;;;;;
71756;2204;3;d;;die;d i:;;;;;;;
73961;3968;3;iː;;die;d i:;;;;;;;
77930;4409;4;ʃ;;Stadt;S t a t;;;;;;;
82340;3968;4;t;;Stadt;S t a t;;;;;;;
86309;5732;4;a;;Stadt;S t a t;;;;;;;
92042;4850;4;t;;Stadt;S t a t;;;;;;;
96893;1322;5;ʔ;;in;? I n;;;;;;;
98216;3527;5;ɪ;;in;? I n;;;;;;;
101744;3968;5;n;;in;? I n;;;;;;;
105713;3968;6;v;;warmes;v a r m @ s;;;;;;;
109682;7055;6;a;;warmes;v a r m @ s;;;;;;;
116738;1322;6;r;;warmes;v a r m @ s;;;;;;;
118061;1763;6;m;;warmes;v a r m @ s;;;;;;;
119825;1322;6;ə;;warmes;v a r m @ s;;;;;;;
121148;5291;6;s;;warmes;v a r m @ s;;;;;;;
126440;3527;7;r;;Rosa;r o: z a;;;;;;;
129968;8819;7;oː;;Rosa;r o: z a;;;;;;;
138788;4409;7;z;;Rosa;r o: z a;;;;;;;
143198;11906;7;a;;Rosa;r o: z a;;;;;;;
155105;5662;-1;(...);;;;;;;;;;
