BEGIN;DURATION;TOKEN;MAU;MAS;ORT;KAN;TRO;MRP;KAS;SPK;TRN;SPD;VAD
0;5164;-1;(...);;;;;;;;;;
5165;1322;0;h;;Hinter;h I n t 6;;;;;;;
6488;3968;0;ɪ;;Hinter;h I n t 6;;;;;;;
10457;3527;0;n;;Hinter;h I n t 6;;;;;;;
13985;4409;0;t;;Hinter;h I n t 6;;;;;;;
18395;5291;0;ɐ;;Hinter;h I n t 6;;;;;;;
23687;1322;1;d;;dem;d e: m;;;;;;;
25010;5291;1;eː;;dem;d e: m;;;;;;;
30302;3968;1;m;;dem;d e: m;;;;;;;
34271;1322;2;ɡ;;Gemälde;g @ m E: l d @;;;;;;;
35594;1763;2;ə;;Gemälde;g @ m E: l d @;;;;;;;
37358;6614;2;m;;Gemälde;g @ m E: l d @;;;;;;;
43973;7937;2;ɛː;;Gemälde;g @ m E: l d @;;;;;;;
51911;2204;2;l;;Gemälde;g @ m E: l d @;;;;;;;
54116;1322;2;d;;Gemälde;g @ m E: l d @;;;;;;;
55439;10583;2;ə;;Gemälde;g @ m E: l d @;;;;;;;
66023;3968;3;f;;verbirgt;f E 6 b I 6 k t;;;;;;;
69992;1763;3;ɛ;;verbirgt;f E 6 b I 6 k t;;;;;;;
71756;2204;3;ɐ;;verbirgt;f E 6 b I 6 k t;;;;;;;
73961;2204;3;b;;verbirgt;f E 6 b I 6 k t;;;;;;;
76166;1763;3;ɪ;;verbirgt;f E 6 b I 6 k t;;;;;;;
77930;3086;3;ɐ;;verbirgt;f E 6 b I 6 k t;;;;;;;
81017;3527;3;k;;verbirgt;f E 6 b I 6 k t;;;;;;;
84545;2645;3;t;;verbirgt;f E 6 b I 6 k t;;;;;;;
87191;3086;4;z;;sich;z I C;;;;;;;
90278;3086;4;ɪ;;sich;z I C;;;;;;;
93365;3527;4;ç;;sich;z I C;;;;;;;
96893;1763;5;ʔ;;ein;? aI n;;;;;;;
98657;4850;5;aɪ;;ein;? aI n;;;;;;;
103508;2204;5;n;;ein;? aI n;;;;;;;
105713;5732;6;f;;vergessener;f 6 g @ s @ n 6;;;;;;;
111446;3527;6;ɐ;;vergessener;f 6 g @ s @ n 6;;;;;;;
114974;3086;6;ɡ;;vergessener;f 6 g @ s @ n 6;;;;;;;
118061;3086;6;ə;;vergessener;f 6 g @ s @ n 6;;;;;;;
121148;7496;6;s;;vergessener;f 6 g @ s @ n 6;;;;;;;
128645;3968;6;ə;;vergessener;f 6 g @ s @ n 6;;;;;;;
132614;1322;6;n;;vergessener;f 6 g @ s @ n 6;;;;;;;
133937;4409;6;ɐ;;vergessener;f 6 g @ s @ n 6;;;;;;;
138347;4850;7;l;;Liebesbrief;l i: b @ s b r i: f;;;;;;;
143198;5732;7;iː;;Liebesbrief;l i: b @ s b r i: f;;;;;;;
148931;3527;7;b;;Liebesbrief;l i: b @ s b r i: f;;;;;;;
152459;2645;7;ə;;Liebesbrief;l i: b @ s b r i: f;;;;;;;
155105;3527;7;s;;Liebesbrief;l i: b @ s b r i: f;;;;;;;
158633;3527;7;b;;Liebesbrief;l i: b @ s b r i: f;;;;;;;
162161;3968;7;r;;Liebesbrief;l i: b @ s b r i: f;;;;;;;
166130;9701;7;iː;;Liebesbrief;l i: b @ s b r i: f;;;;;;;
175832;3086;7;f;;Liebesbrief;l i: b @ s b r i: f;;;;;;;
178919;8472;-1;(...);;;;;;;;;;
