BEGIN;DURATION;TOKEN;MAU;MAS;ORT;KAN;TRO;MRP;KAS;SPK;TRN;SPD;VAD
0;5605;-1;(...);;;;;;;;;;
5606;2204;0;f;f oːɐ;Vor;f oː ɐ;;;f oːɐ;;Vor Erschöpftheit warten wir das Ende des Kampfs nicht ab;;
7811;1763;0;oː;f oːɐ;Vor;f oː ɐ;;;f oːɐ;;Vor Erschöpftheit warten wir das Ende des Kampfs nicht ab;;
9575;4850;0;ɐ;f oːɐ;Vor;f oː ɐ;;;f oːɐ;;Vor Erschöpftheit warten wir das Ende des Kampfs nicht ab;;
14426;3968;1;ɛ;ɛɐ.ʃ œ p f t.h aɪ t;Erschöpftheit;ʔ ɛ ɐ ʃ œ p f t h aɪ t;;;ʔ ɛɐ . ʃ œ p f t . h aɪ t;;Vor Erschöpftheit warten wir das Ende des Kampfs nicht ab;;
18395;1763;1;ɐ;ɛɐ.ʃ œ p f t.h aɪ t;Erschöpftheit;ʔ ɛ ɐ ʃ œ p f t h aɪ t;;;ʔ ɛɐ . ʃ œ p f t . h aɪ t;;Vor Erschöpftheit warten wir das Ende des Kampfs nicht ab;;
20159;5732;1;ʃ;ɛɐ.ʃ œ p f t.h aɪ t;Erschöpftheit;ʔ ɛ ɐ ʃ œ p f t h aɪ t;;;ʔ ɛɐ . ʃ œ p f t . h aɪ t;;Vor Erschöpftheit warten wir das Ende des Kampfs nicht ab;;
25892;2645;1;œ;ɛɐ.ʃ œ p f t.h aɪ t;Erschöpftheit;ʔ ɛ ɐ ʃ œ p f t h aɪ t;;;ʔ ɛɐ . ʃ œ p f t . h aɪ t;;Vor Erschöpftheit warten wir das Ende des Kampfs nicht ab;;
28538;5732;1;p;ɛɐ.ʃ œ p f t.h aɪ t;Erschöpftheit;ʔ ɛ ɐ ʃ œ p f t h aɪ t;;;ʔ ɛɐ . ʃ œ p f t . h aɪ t;;Vor Erschöpftheit warten wir das Ende des Kampfs nicht ab;;
34271;3968;1;f;ɛɐ.ʃ œ p f t.h aɪ t;Erschöpftheit;ʔ ɛ ɐ ʃ œ p f t h aɪ t;;;ʔ ɛɐ . ʃ œ p f t . h aɪ t;;Vor Erschöpftheit warten wir das Ende des Kampfs nicht ab;;
38240;2645;1;t;ɛɐ.ʃ œ p f t.h aɪ t;Erschöpftheit;ʔ ɛ ɐ ʃ œ p f t h aɪ t;;;ʔ ɛɐ . ʃ œ p f t . h aɪ t;;Vor Erschöpftheit warten wir das Ende des Kampfs nicht ab;;
40886;1763;1;h;ɛɐ.ʃ œ p f t.h aɪ t;Erschöpftheit;ʔ ɛ ɐ ʃ œ p f t h aɪ t;;;ʔ ɛɐ . ʃ œ p f t . h aɪ t;;Vor Erschöpftheit warten wir das Ende des Kampfs nicht ab;;
42650;7937;1;aɪ;ɛɐ.ʃ œ p f t.h aɪ t;Erschöpftheit;ʔ ɛ ɐ ʃ œ p f t h aɪ t;;;ʔ ɛɐ . ʃ œ p f t . h aɪ t;;Vor Erschöpftheit warten wir das Ende des Kampfs nicht ab;;
50588;2645;1;t;ɛɐ.ʃ œ p f t.h aɪ t;Erschöpftheit;ʔ ɛ ɐ ʃ œ p f t h aɪ t;;;ʔ ɛɐ . ʃ œ p f t . h aɪ t;;Vor Erschöpftheit warten wir das Ende des Kampfs nicht ab;;
53234;3968;2;v;v a r.t ə n;warten;v a r t ə n;;;v a r . t ə n;;Vor Erschöpftheit warten wir das Ende des Kampfs nicht ab;;
57203;6173;2;a;v a r.t ə n;warten;v a r t ə n;;;v a r . t ə n;;Vor Erschöpftheit warten wir das Ende des Kampfs nicht ab;;
63377;1322;2;r;v a r.t ə n;warten;v a r t ə n;;;v a r . t ə n;;Vor Erschöpftheit warten wir das Ende des Kampfs nicht ab;;
64700;3527;2;t;v a r.t ə n;warten;v a r t ə n;;;v a r . t ə n;;Vor Erschöpftheit warten wir das Ende des Kampfs nicht ab;;
68228;2204;2;ə;v a r.t ə n;warten;v a r t ə n;;;v a r . t ə n;;Vor Erschöpftheit warten wir das Ende des Kampfs nicht ab;;
70433;1322;2;n;v a r.t ə n;warten;v a r t ə n;;;v a r . t ə n;;Vor Erschöpftheit warten wir das Ende des Kampfs nicht ab;;
71756;2645;3;v;v ɪ;wir;v iː ɐ;;;v iːɐ;;Vor Erschöpftheit warten wir das Ende des Kampfs nicht ab;;
74402;3086;3;ɪ;v ɪ;wir;v iː ɐ;;;v iːɐ;;Vor Erschöpftheit warten wir das Ende des Kampfs nicht ab;;
77489;1763;4;d;d a s;das;d a s;;;d a s;;Vor Erschöpftheit warten wir das Ende des Kampfs nicht ab;;
79253;3527;4;a;d a s;das;d a s;;;d a s;;Vor Erschöpftheit warten wir das Ende des Kampfs nicht ab;;
82781;3527;4;s;d a s;das;d a s;;;d a s;;Vor Erschöpftheit warten wir das Ende des Kampfs nicht ab;;
86309;3086;5;ʔ;ʔ ɛ n.d ə;Ende;ʔ ɛ n d ə;;;ʔ ɛ n . d ə;;Vor Erschöpftheit warten wir das Ende des Kampfs nicht ab;;
89396;2204;5;ɛ;ʔ ɛ n.d ə;Ende;ʔ ɛ n d ə;;;ʔ ɛ n . d ə;;Vor Erschöpftheit warten wir das Ende des Kampfs nicht ab;;
