BEGIN;DURATION;TOKEN;MAU;MAS;ORT;KAN;TRO;MRP;KAS;SPK;TRN;SPD;VAD
0;3841;-1;(...);;;;;;;;;;
3842;2204;0;d;;Der;d e: 6;;;;;;;
6047;3968;0;eː;;Der;d e: 6;;;;;;;
10016;1322;0;ɐ;;Der;d e: 6;;;;;;;
11339;3086;1;ɡ;;Geruch;g @ r U x;;;;;;;
14426;3086;1;ə;;Geruch;g @ r U x;;;;;;;
17513;5291;1;r;;Geruch;g @ r U x;;;;;;;
22805;2645;1;ʊ;;Geruch;g @ r U x;;;;;;;
25451;4850;1;x;;Geruch;g @ r U x;;;;;;;
30302;5291;2;f;;von;f O n;;;;;;;
35594;4850;2;ɔ;;von;f O n;;;;;;;
40445;4409;2;n;;von;f O n;;;;;;;
44855;1763;3;m;;Meersalz;m e: 6 z a l ts;;;;;;;
46619;7055;3;eː;;Meersalz;m e: 6 z a l ts;;;;;;;
53675;3968;3;ɐ;;Meersalz;m e: 6 z a l ts;;;;;;;
57644;3086;3;z;;Meersalz;m e: 6 z a l ts;;;;;;;
60731;6614;3;a;;Meersalz;m e: 6 z a l ts;;;;;;;
67346;3527;3;l;;Meersalz;m e: 6 z a l ts;;;;;;;
70874;7937;3;ts;;Meersalz;m e: 6 z a l ts;;;;;;;
78812;1322;4;h;;hing;h I N;;;;;;;
80135;3968;4;ɪ;;hing;h I N;;;;;;;
84104;3968;4;ŋ;;hing;h I N;;;;;;;
88073;1322;5;ʔ;;in;? I n;;;;;;;
89396;2204;5;ɪ;;in;? I n;;;;;;;
91601;3086;5;n;;in;? I n;;;;;;;
94688;1322;6;d;;der;d e: 6;;;;;;;
96011;2645;6;eː;;der;d e: 6;;;;;;;
98657;1322;6;ɐ;;der;d e: 6;;;;;;;
99980;4850;7;z;;salzigen;z a l ts I g @ n;;;;;;;
104831;4409;7;a;;salzigen;z a l ts I g @ n;;;;;;;
109241;3527;7;l;;salzigen;z a l ts I g @ n;;;;;;;
112769;6614;7;ts;;salzigen;z a l ts I g @ n;;;;;;;
119384;2204;7;ɪ;;salzigen;z a l ts I g @ n;;;;;;;
121589;1322;7;ɡ;;salzigen;z a l ts I g @ n;;;;;;;
122912;1322;7;ə;;salzigen;z a l ts I g @ n;;;;;;;
124235;3086;7;n;;salzigen;z a l ts I g @ n;;;;;;;
127322;4409;8;m;;Meeresluft;m e: r @ s l U f t;;;;;;;
131732;6173;8;eː;;Meeresluft;m e: r @ s l U f t;;;;;;;
137906;2204;8;r;;Meeresluft;m e: r @ s l U f t;;;;;;;
140111;3086;8;ə;;Meeresluft;m e: r @ s l U f t;;;;;;;
143198;4850;8;s;;Meeresluft;m e: r @ s l U f t;;;;;;;
148049;3086;8;l;;Meeresluft;m e: r @ s l U f t;;;;;;;
151136;6614;8;ʊ;;Meeresluft;m e: r @ s l U f t;;;;;;;
157751;6614;8;f;;Meeresluft;m e: r @ s l U f t;;;;;;;
164366;5732;8;t;;Meeresluft;m e: r @ s l U f t;;;;;;;
170099;2444;-1;(...);;;;;;;;;;
