BEGIN;DURATION;TOKEN;MAU;MAS;ORT;KAN;TRO;MRP;KAS;SPK;TRN;SPD;VAD
0;3400;0;d;;Die;d i:;;;;;;;
3401;2645;0;iː;;Die;d i:;;;;;;;
6047;5291;1;ʃ;;Spuren;S p u: r @ n;;;;;;;
11339;3086;1;p;;Spuren;S p u: r @ n;;;;;;;
14426;7055;1;uː;;Spuren;S p u: r @ n;;;;;;;
21482;2204;1;r;;Spuren;S p u: r @ n;;;;;;;
23687;1763;1;ə;;Spuren;S p u: r @ n;;;;;;;
25451;3968;1;n;;Spuren;S p u: r @ n;;;;;;;
29420;1763;2;d;;des;d E s;;;;;;;
31184;1322;2;ɛ;;des;d E s;;;;;;;
32507;6173;2;s;;des;d E s;;;;;;;
38681;2204;3;v;;Windes;v I n d @ s;;;;;;;
40886;3527;3;ɪ;;Windes;v I n d @ s;;;;;;;
44414;3968;3;n;;Windes;v I n d @ s;;;;;;;
48383;2204;3;d;;Windes;v I n d @ s;;;;;;;
50588;3086;3;ə;;Windes;v I n d @ s;;;;;;;
53675;5732;3;s;;Windes;v I n d @ s;;;;;;;
59408;5732;4;ts;;zeichnen;ts aI C n @ n;;;;;;;
65141;7055;4;aɪ;;zeichnen;ts aI C n @ n;;;;;;;
72197;3086;4;ç;;zeichnen;ts aI C n @ n;;;;;;;
75284;3086;4;n;;zeichnen;ts aI C n @ n;;;;;;;
78371;1322;4;ə;;zeichnen;ts aI C n @ n;;;;;;;
79694;3086;4;n;;zeichnen;ts aI C n @ n;;;;;;;
82781;2204;5;ɡ;;Geschichten;g @ S I C t @ n;;;;;;;
84986;1763;5;ə;;Geschichten;g @ S I C t @ n;;;;;;;
86750;7496;5;ʃ;;Geschichten;g @ S I C t @ n;;;;;;;
94247;3086;5;ɪ;;Geschichten;g @ S I C t @ n;;;;;;;
97334;7055;5;ç;;Geschichten;g @ S I C t @ n;;;;;;;
104390;2645;5;t;;Geschichten;g @ S I C t @ n;;;;;;;
107036;1322;5;ə;;Geschichten;g @ S I C t @ n;;;;;;;
108359;2204;5;n;;Geschichten;g @ S I C t @ n;;;;;;;
110564;1322;6;ʔ;;im;? I m;;;;;;;
111887;1322;6;ɪ;;im;? I m;;;;;;;
113210;3968;6;m;;im;? I m;;;;;;;
117179;4409;7;z;;Sand;z a n t;;;;;;;
121589;6173;7;a;;Sand;z a n t;;;;;;;
127763;5291;7;n;;Sand;z a n t;;;;;;;
133055;6614;7;t;;Sand;z a n t;;;;;;;
139670;5737;-1;(...);;;;;;;;;;
