BEGIN;DURATION;TOKEN;MAU;MAS;ORT;KAN;TRO;MRP;KAS;SPK;TRN;SPD;VAD
0;2959;0;d;;Der;d e: 6;;;;;;;
2960;2645;0;eː;;Der;d e: 6;;;;;;;
5606;3968;0;ɐ;;Der;d e: 6;;;;;;;
9575;2645;1;b;;Bürgerentscheid;b y: r g @ r E n t S aI t;;;;;;;
12221;4850;1;yː;;Bürgerentscheid;b y: r g @ r E n t S aI t;;;;;;;
17072;1322;1;r;;Bürgerentscheid;b y: r g @ r E n t S aI t;;;;;;;
18395;3527;1;ɡ;;Bürgerentscheid;b y: r g @ r E n t S aI t;;;;;;;
21923;1763;1;ə;;Bürgerentscheid;b y: r g @ r E n t S aI t;;;;;;;
23687;1322;1;r;;Bürgerentscheid;b y: r g @ r E n t S aI t;;;;;;;
25010;5291;1;ɛ;;Bürgerentscheid;b y: r g @ r E n t S aI t;;;;;;;
30302;2645;1;n;;Bürgerentscheid;b y: r g @ r E n t S aI t;;;;;;;
32948;1322;1;t;;Bürgerentscheid;b y: r g @ r E n t S aI t;;;;;;;
34271;4409;1;ʃ;;Bürgerentscheid;b y: r g @ r E n t S aI t;;;;;;;
38681;8378;1;aɪ;;Bürgerentscheid;b y: r g @ r E n t S aI t;;;;;;;
47060;3527;1;t;;Bürgerentscheid;b y: r g @ r E n t S aI t;;;;;;;
50588;3527;2;ʔ;;über;? y: b 6;;;;;;;
54116;2204;2;yː;;über;? y: b 6;;;;;;;
56321;3527;2;b;;über;? y: b 6;;;;;;;
59849;3527;2;ɐ;;über;? y: b 6;;;;;;;
63377;2204;3;d;;den;d e: n;;;;;;;
65582;3527;3;eː;;den;d e: n;;;;;;;
69110;2645;3;n;;den;d e: n;;;;;;;
71756;1763;4;n;;neuen;n OY @ n;;;;;;;
73520;6173;4;ɔʏ;;neuen;n OY @ n;;;;;;;
79694;1322;4;ə;;neuen;n OY @ n;;;;;;;
81017;2204;4;n;;neuen;n OY @ n;;;;;;;
83222;4850;5;ʃ;;Stadtteil;S t a t t aI l;;;;;;;
88073;2204;5;t;;Stadtteil;S t a t t aI l;;;;;;;
90278;4409;5;a;;Stadtteil;S t a t t aI l;;;;;;;
94688;3086;5;t;;Stadtteil;S t a t t aI l;;;;;;;
97775;3968;5;t;;Stadtteil;S t a t t aI l;;;;;;;
101744;4850;5;aɪ;;Stadtteil;S t a t t aI l;;;;;;;
106595;2645;5;l;;Stadtteil;S t a t t aI l;;;;;;;
109241;2645;6;ʃ;;steht;S t e: t;;;;;;;
111887;3086;6;t;;steht;S t e: t;;;;;;;
114974;5291;6;eː;;steht;S t e: t;;;;;;;
120266;1322;6;t;;steht;S t e: t;;;;;;;
121589;2204;-1;(...);;;;;;;;;;
123794;2645;7;b;;bevor;b @ f o: 6;;;;;;;
126440;1763;7;ə;;bevor;b @ f o: 6;;;;;;;
128204;7937;7;f;;bevor;b @ f o: 6;;;;;;;
136142;2645;7;oː;;bevor;b @ f o: 6;;;;;;;
138788;13670;7;ɐ;;bevor;b @ f o: 6;;;;;;;
152459;5236;-1;(...);;;;;;;;;;
