BEGIN;DURATION;TOKEN;MAU;MAS;ORT;KAN;TRO;MRP;KAS;SPK;TRN;SPD;VAD
0;1195;-1;(...);;;;;;;;;;
1196;2204;0;d;;Der;d e: 6;;;;;;;
3401;3086;0;eː;;Der;d e: 6;;;;;;;
6488;2204;0;ɐ;;Der;d e: 6;;;;;;;
8693;4850;1;z;;Seiltänzer;z aI l t E n ts 6;;;;;;;
13544;7937;1;aɪ;;Seiltänzer;z aI l t E n ts 6;;;;;;;
21482;1322;1;l;;Seiltänzer;z aI l t E n ts 6;;;;;;;
22805;4850;1;t;;Seiltänzer;z aI l t E n ts 6;;;;;;;
27656;5291;1;ɛ;;Seiltänzer;z aI l t E n ts 6;;;;;;;
32948;3968;1;n;;Seiltänzer;z aI l t E n ts 6;;;;;;;
36917;5291;1;ts;;Seiltänzer;z aI l t E n ts 6;;;;;;;
42209;5291;1;ɐ;;Seiltänzer;z aI l t E n ts 6;;;;;;;
47501;3527;2;b;;backt;b a k t;;;;;;;
51029;3086;2;a;;backt;b a k t;;;;;;;
54116;2645;2;k;;backt;b a k t;;;;;;;
56762;3968;2;t;;backt;b a k t;;;;;;;
60731;7055;3;k;;Kekse;k e: k s @;;;;;;;
67787;7496;3;eː;;Kekse;k e: k s @;;;;;;;
75284;3527;3;k;;Kekse;k e: k s @;;;;;;;
78812;6173;3;s;;Kekse;k e: k s @;;;;;;;
84986;7055;3;ə;;Kekse;k e: k s @;;;;;;;
92042;1322;4;ʔ;;in;? I n;;;;;;;
93365;2204;4;ɪ;;in;? I n;;;;;;;
95570;2645;4;n;;in;? I n;;;;;;;
98216;1763;5;d;;der;d e: 6;;;;;;;
99980;1763;5;eː;;der;d e: 6;;;;;;;
101744;2645;5;ɐ;;der;d e: 6;;;;;;;
104390;3527;6;h;;Hängematte;h E N @ m a t @;;;;;;;
107918;2204;6;ɛ;;Hängematte;h E N @ m a t @;;;;;;;
110123;3968;6;ŋ;;Hängematte;h E N @ m a t @;;;;;;;
114092;1763;6;ə;;Hängematte;h E N @ m a t @;;;;;;;
115856;5291;6;m;;Hängematte;h E N @ m a t @;;;;;;;
121148;3086;6;a;;Hängematte;h E N @ m a t @;;;;;;;
124235;6614;6;t;;Hängematte;h E N @ m a t @;;;;;;;
130850;7937;6;ə;;Hängematte;h E N @ m a t @;;;;;;;
138788;4059;-1;(...);;;;;;;;;;
