BEGIN;DURATION;TOKEN;MAU;MAS;ORT;KAN;TRO;MRP;KAS;SPK;TRN;SPD;VAD
0;1195;-1;(...);;;;;;;;;;
1196;2645;0;ʔ;;Ein;? aI n;;;;;;;
3842;4409;0;aɪ;;Ein;? aI n;;;;;;;
8252;3086;0;n;;Ein;? aI n;;;;;;;
11339;1763;1;ɡ;;geheimnisvolles;g @ h aI m n I s f O l @ s;;;;;;;
13103;2645;1;ə;;geheimnisvolles;g @ h aI m n I s f O l @ s;;;;;;;
15749;4409;1;h;;geheimnisvolles;g @ h aI m n I s f O l @ s;;;;;;;
20159;4850;1;aɪ;;geheimnisvolles;g @ h aI m n I s f O l @ s;;;;;;;
25010;1763;1;m;;geheimnisvolles;g @ h aI m n I s f O l @ s;;;;;;;
26774;2645;1;n;;geheimnisvolles;g @ h aI m n I s f O l @ s;;;;;;;
29420;1763;1;ɪ;;geheimnisvolles;g @ h aI m n I s f O l @ s;;;;;;;
31184;4409;1;s;;geheimnisvolles;g @ h aI m n I s f O l @ s;;;;;;;
35594;2645;1;f;;geheimnisvolles;g @ h aI m n I s f O l @ s;;;;;;;
38240;3527;1;ɔ;;geheimnisvolles;g @ h aI m n I s f O l @ s;;;;;;;
41768;2645;1;l;;geheimnisvolles;g @ h aI m n I s f O l @ s;;;;;;;
44414;1322;1;ə;;geheimnisvolles;g @ h aI m n I s f O l @ s;;;;;;;
45737;4409;1;s;;geheimnisvolles;g @ h aI m n I s f O l @ s;;;;;;;
50147;6173;2;t;;Tagebuch;t a: g @ b u: x;;;;;;;
56321;7496;2;aː;;Tagebuch;t a: g @ b u: x;;;;;;;
63818;2645;2;ɡ;;Tagebuch;t a: g @ b u: x;;;;;;;
66464;3527;2;ə;;Tagebuch;t a: g @ b u: x;;;;;;;
69992;2645;2;b;;Tagebuch;t a: g @ b u: x;;;;;;;
72638;6614;2;uː;;Tagebuch;t a: g @ b u: x;;;;;;;
79253;4409;2;x;;Tagebuch;t a: g @ b u: x;;;;;;;
83663;2645;3;l;;liegt;l i: k t;;;;;;;
86309;2645;3;iː;;liegt;l i: k t;;;;;;;
88955;3527;3;k;;liegt;l i: k t;;;;;;;
92483;2204;3;t;;liegt;l i: k t;;;;;;;
94688;5291;4;ʔ;;offen;? O f @ n;;;;;;;
99980;4409;4;ɔ;;offen;? O f @ n;;;;;;;
104390;7055;4;f;;offen;? O f @ n;;;;;;;
111446;5732;4;ə;;offen;? O f @ n;;;;;;;
117179;1322;4;n;;offen;? O f @ n;;;;;;;
118502;2204;5;ʔ;;im;? I m;;;;;;;
120707;3086;5;ɪ;;im;? I m;;;;;;;
123794;1763;5;m;;im;? I m;;;;;;;
125558;5732;6;f;;verstaubten;f 6 S t aU p t @ n;;;;;;;
131291;3968;6;ɐ;;verstaubten;f 6 S t aU p t @ n;;;;;;;
135260;5291;6;ʃ;;verstaubten;f 6 S t aU p t @ n;;;;;;;
140552;2645;6;t;;verstaubten;f 6 S t aU p t @ n;;;;;;;
143198;5732;6;aʊ;;verstaubten;f 6 S t aU p t @ n;;;;;;;
148931;1322;6;p;;verstaubten;f 6 S t aU p t @ n;;;;;;;
150254;7937;6;t;;verstaubten;f 6 S t aU p t @ n;;;;;;;
158192;2204;6;ə;;verstaubten;f 6 S t aU p t @ n;;;;;;;
160397;2645;6;n;;verstaubten;f 6 S t aU p t @ n;;;;;;;
163043;2645;7;b;;Bücherregal;b y: C 6 r e g a: l;;;;;;;
165689;4850;7;yː;;Bücherregal;b y: C 6 r e g a: l;;;;;;;
170540;5732;7;ç;;Bücherregal;b y: C 6 r e g a: l;;;;;;;
176273;4850;7;ɐ;;Bücherregal;b y: C 6 r e g a: l;;;;;;;
181124;2645;7;r;;Bücherregal;b y: C 6 r e g a: l;;;;;;;
183770;3086;7;e;;Bücherregal;b y: C 6 r e g a: l;;;;;;;
186857;3527;7;ɡ;;Bücherregal;b y: C 6 r e g a: l;;;;;;;
190385;11906;7;aː;;Bücherregal;b y: C 6 r e g a: l;;;;;;;
202292;7496;7;l;;Bücherregal;b y: C 6 r e g a: l;;;;;;;
209789;2178;-1;(...);;;;;;;;;;
