BEGIN;DURATION;TOKEN;MAU;MAS;ORT;KAN;TRO;MRP;KAS;SPK;TRN;SPD;VAD
0;4723;-1;(...);;;;;;;;;;
4724;4409;0;v;;Weil;v aI l;;;;;;;
9134;8378;0;aɪ;;Weil;v aI l;;;;;;;
17513;1322;0;l;;Weil;v aI l;;;;;;;
18836;5291;1;ts;;zwei;ts v aI;;;;;;;
24128;1322;1;v;;zwei;ts v aI;;;;;;;
25451;9701;1;aɪ;;zwei;ts v aI;;;;;;;
35153;6173;2;p;;Parlamentssitze;p a 6 l a m E n t z I t s @;;;;;;;
41327;1322;2;a;;Parlamentssitze;p a 6 l a m E n t z I t s @;;;;;;;
42650;1322;2;ɐ;;Parlamentssitze;p a 6 l a m E n t z I t s @;;;;;;;
43973;2204;2;l;;Parlamentssitze;p a 6 l a m E n t z I t s @;;;;;;;
46178;3086;2;a;;Parlamentssitze;p a 6 l a m E n t z I t s @;;;;;;;
49265;3527;2;m;;Parlamentssitze;p a 6 l a m E n t z I t s @;;;;;;;
52793;3527;2;ɛ;;Parlamentssitze;p a 6 l a m E n t z I t s @;;;;;;;
56321;3086;2;n;;Parlamentssitze;p a 6 l a m E n t z I t s @;;;;;;;
59408;2204;2;t;;Parlamentssitze;p a 6 l a m E n t z I t s @;;;;;;;
61613;5291;2;z;;Parlamentssitze;p a 6 l a m E n t z I t s @;;;;;;;
66905;1763;2;ɪ;;Parlamentssitze;p a 6 l a m E n t z I t s @;;;;;;;
68669;2645;2;t;;Parlamentssitze;p a 6 l a m E n t z I t s @;;;;;;;
71315;5732;2;s;;Parlamentssitze;p a 6 l a m E n t z I t s @;;;;;;;
77048;2645;2;ə;;Parlamentssitze;p a 6 l a m E n t z I t s @;;;;;;;
79694;5732;3;f;;frei;f r aI;;;;;;;
85427;3527;3;r;;frei;f r aI;;;;;;;
88955;9260;3;aɪ;;frei;f r aI;;;;;;;
98216;2645;4;v;;werden;v e: 6 d @ n;;;;;;;
100862;3527;4;eː;;werden;v e: 6 d @ n;;;;;;;
104390;3527;4;ɐ;;werden;v e: 6 d @ n;;;;;;;
107918;1763;4;d;;werden;v e: 6 d @ n;;;;;;;
109682;4850;4;ə;;werden;v e: 6 d @ n;;;;;;;
114533;1322;4;n;;werden;v e: 6 d @ n;;;;;;;
115856;1322;5;ʔ;;ist;? I s t;;;;;;;
117179;2645;5;ɪ;;ist;? I s t;;;;;;;
119825;3086;5;s;;ist;? I s t;;;;;;;
122912;3086;5;t;;ist;? I s t;;;;;;;
125999;2204;6;ʔ;;eine;? aI n @;;;;;;;
128204;4409;6;aɪ;;eine;? aI n @;;;;;;;
132614;2204;6;n;;eine;? aI n @;;;;;;;
134819;1322;6;ə;;eine;? aI n @;;;;;;;
136142;6173;7;n;;Nachwahl;n a: x v a: l;;;;;;;
142316;5732;7;aː;;Nachwahl;n a: x v a: l;;;;;;;
148049;5291;7;x;;Nachwahl;n a: x v a: l;;;;;;;
153341;3086;7;v;;Nachwahl;n a: x v a: l;;;;;;;
156428;4409;7;aː;;Nachwahl;n a: x v a: l;;;;;;;
160838;1322;7;l;;Nachwahl;n a: x v a: l;;;;;;;
162161;1322;8;ʔ;;erforderlich;? E 6 f O 6 d 6 l I C;;;;;;;
163484;3086;8;ɛ;;erforderlich;? E 6 f O 6 d 6 l I C;;;;;;;
166571;2204;8;ɐ;;erforderlich;? E 6 f O 6 d 6 l I C;;;;;;;
168776;5291;8;f;;erforderlich;? E 6 f O 6 d 6 l I C;;;;;;;
174068;3086;8;ɔ;;erforderlich;? E 6 f O 6 d 6 l I C;;;;;;;
177155;3086;8;ɐ;;erforderlich;? E 6 f O 6 d 6 l I C;;;;;;;
180242;1763;8;d;;erforderlich;? E 6 f O 6 d 6 l I C;;;;;;;
182006;1763;8;ɐ;;erforderlich;? E 6 f O 6 d 6 l I C;;;;;;;
183770;5732;8;l;;erforderlich;? E 6 f O 6 d 6 l I C;;;;;;;
189503;4409;8;ɪ;;erforderlich;? E 6 f O 6 d 6 l I C;;;;;;;
193913;8378;8;ç;;erforderlich;? E 6 f O 6 d 6 l I C;;;;;;;
202292;6091;-1;(...);;;;;;;;;;
