BEGIN;DURATION;TOKEN;MAU;MAS;ORT;KAN;TRO;MRP;KAS;SPK;TRN;SPD;VAD
0;1195;-1;(...);;;;;;;;;;
1196;2645;0;d;;Der;d e: 6;;;;;;;
3842;2204;0;eː;;Der;d e: 6;;;;;;;
6047;1322;0;ɐ;;Der;d e: 6;;;;;;;
7370;5291;1;k;;Kommunikationsprozess;k O m u n i k a ts j o: n s p r o t s E s;;;;;;;
12662;2204;1;ɔ;;Kommunikationsprozess;k O m u n i k a ts j o: n s p r o t s E s;;;;;;;
14867;2645;1;m;;Kommunikationsprozess;k O m u n i k a ts j o: n s p r o t s E s;;;;;;;
17513;1763;1;u;;Kommunikationsprozess;k O m u n i k a ts j o: n s p r o t s E s;;;;;;;
19277;2645;1;n;;Kommunikationsprozess;k O m u n i k a ts j o: n s p r o t s E s;;;;;;;
21923;3527;1;i;;Kommunikationsprozess;k O m u n i k a ts j o: n s p r o t s E s;;;;;;;
25451;3968;1;k;;Kommunikationsprozess;k O m u n i k a ts j o: n s p r o t s E s;;;;;;;
29420;2645;1;a;;Kommunikationsprozess;k O m u n i k a ts j o: n s p r o t s E s;;;;;;;
32066;3968;1;ts;;Kommunikationsprozess;k O m u n i k a ts j o: n s p r o t s E s;;;;;;;
36035;2645;1;j;;Kommunikationsprozess;k O m u n i k a ts j o: n s p r o t s E s;;;;;;;
38681;3527;1;oː;;Kommunikationsprozess;k O m u n i k a ts j o: n s p r o t s E s;;;;;;;
42209;2204;1;n;;Kommunikationsprozess;k O m u n i k a ts j o: n s p r o t s E s;;;;;;;
44414;4409;1;s;;Kommunikationsprozess;k O m u n i k a ts j o: n s p r o t s E s;;;;;;;
48824;2204;1;p;;Kommunikationsprozess;k O m u n i k a ts j o: n s p r o t s E s;;;;;;;
51029;1322;1;r;;Kommunikationsprozess;k O m u n i k a ts j o: n s p r o t s E s;;;;;;;
52352;1763;1;o;;Kommunikationsprozess;k O m u n i k a ts j o: n s p r o t s E s;;;;;;;
54116;2645;1;t;;Kommunikationsprozess;k O m u n i k a ts j o: n s p r o t s E s;;;;;;;
56762;4409;1;s;;Kommunikationsprozess;k O m u n i k a ts j o: n s p r o t s E s;;;;;;;
61172;5732;1;ɛ;;Kommunikationsprozess;k O m u n i k a ts j o: n s p r o t s E s;;;;;;;
66905;4850;1;s;;Kommunikationsprozess;k O m u n i k a ts j o: n s p r o t s E s;;;;;;;
71756;4409;2;b;;beeinflusst;b @ ? aI n f l U s t;;;;;;;
76166;2645;2;ə;;beeinflusst;b @ ? aI n f l U s t;;;;;;;
78812;1322;2;ʔ;;beeinflusst;b @ ? aI n f l U s t;;;;;;;
80135;5732;2;aɪ;;beeinflusst;b @ ? aI n f l U s t;;;;;;;
85868;1322;2;n;;beeinflusst;b @ ? aI n f l U s t;;;;;;;
87191;3527;2;f;;beeinflusst;b @ ? aI n f l U s t;;;;;;;
90719;2645;2;l;;beeinflusst;b @ ? aI n f l U s t;;;;;;;
93365;1763;2;ʊ;;beeinflusst;b @ ? aI n f l U s t;;;;;;;
95129;2645;2;s;;beeinflusst;b @ ? aI n f l U s t;;;;;;;
97775;2204;2;t;;beeinflusst;b @ ? aI n f l U s t;;;;;;;
