,phone,phone_surprisal,phone_entropy,word,target_id,word_order,phone_num
1999,t,0.09480678363961077,0.00032185132198366397,löst,64,1,4
2000,d,,,doch,64,2,1
2001,ɔ,5.0883653879756645,1.0747748069098002,doch,64,2,2
2002,x,0.66800239596412,0.04168156263146065,doch,64,2,3
2003,d,,,die,64,3,1
2004,iː,2.650458870553818,1.0747748069098002,die,64,3,2
2005,f,,,fahrkarten,64,4,1
2006,aː,5.117128822668176,0.6355174497156335,fahrkarten,64,4,2
2007,ɐ,9.353167538548641,0.017955592547973687,fahrkarten,64,4,3
2008,k,-0.0,4.0706526199890924e-05,fahrkarten,64,4,4
2009,a,-0.0,4.0706526199890924e-05,fahrkarten,64,4,5
2010,ɐ,-0.0,4.0706526199890924e-05,fahrkarten,64,4,6
2011,t,-0.0,4.0706526199890924e-05,fahrkarten,64,4,7
2012,ə,-0.0,4.0706526199890924e-05,fahrkarten,64,4,8
2013,n,-0.0,4.0706526199890924e-05,fahrkarten,64,4,9
2014,ʔ,,,am,64,5,1
2015,a,1.6357452193168687,2.2410487228891505,am,64,5,2
2016,m,5.757870454780846,0.8533098065212363,am,64,5,3
2017,ʃ,,,schalter,64,6,1
2018,a,3.211731024441034,0.40221135511294975,schalter,64,6,2
2019,l,5.32656581888877,0.043572343844074185,schalter,64,6,3
2020,t,0.2300909190113434,0.0013508182369726834,schalter,64,6,4
2021,ɐ,2.5555460127444207,0.0011168751381505405,schalter,64,6,5
2022,ʔ,,,im,5,1,1
2023,ɪ,1.7669368568570172,2.2410487228891505,im,5,1,2
2024,m,4.04787711445444,0.4426033601596914,im,5,1,3
2025,v,,,wald,5,2,1
2026,a,1.5930162103593999,0.8544178205053973,wald,5,2,2
2027,l,7.260842215107394,0.2701255465185516,wald,5,2,3
2028,t,0.9714382705822407,0.0032791949100237708,wald,5,2,4
2029,p,,,plätschert,5,3,1
2030,l,3.518075553271407,0.15977039222193734,plätschert,5,3,2
2031,ɛ,3.620391181243451,0.013679348967240653,plätschert,5,3,3
2032,t,1.5466568649787658,0.0011730448682280516,plätschert,5,3,4
2033,ʃ,4.8428619244473206,0.0004206835851634303,plätschert,5,3,5
2034,ɐ,0.0687127500840142,1.9030522776270412e-05,plätschert,5,3,6
2035,t,0.9312872499159853,1.8033126066285325e-05,plätschert,5,3,7
2036,ʔ,,,eine,5,4,1
2037,aɪ,3.2589403945646755,2.2410487228891505,eine,5,4,2
2038,n,0.06414877737699887,0.23716781735682246,eine,5,4,3
2039,ə,1.242153778549766,0.22043430509471776,eine,5,4,4
2040,d,,,dunkle,5,5,1
2041,ʊ,6.312077288392412,1.0747748069098002,dunkle,5,5,2
2042,ŋ,3.7595541568580084,0.02444820011456633,dunkle,5,5,3
2043,k,0.008790873205847649,0.002009952181985979,dunkle,5,5,4
2044,l,1.5344783288248043,0.001993624656785757,dunkle,5,5,5
2045,ə,0.24475934743922242,0.0007038209734499096,dunkle,5,5,6
2046,k,,,quelle,5,6,1
2047,v,6.625183352797434,0.4646733962568012,quelle,5,6,2
2048,ɛ,2.188633041648156,0.006477796396539232,quelle,5,6,3
2049,l,1.0779615780955272,0.0013862892813880662,quelle,5,6,4
2050,ə,0.06766982653780605,0.0006003943497310681,quelle,5,6,5
2051,d,,,die,206,1,1
2052,iː,2.650458870553818,1.0747748069098002,die,206,1,2
2053,m,,,musik,206,2,1
2054,u,6.928887563224792,0.6236366443941769,musik,206,2,2
2055,z,0.7331323785543076,0.007281182149222782,musik,206,2,3
2056,iː,0.13684770209896427,0.003821747695236455,musik,206,2,4
2057,k,-0.0,0.0033483872679604793,musik,206,2,5
2058,ʔ,,,erklingt,206,3,1
2059,ɛ,2.7508470390166497,2.2410487228891505,erklingt,206,3,2
2060,ɐ,1.4584997433230527,0.3459024941311942,erklingt,206,3,3
2061,r,4.779534923296552,0.13594720023878254,erklingt,206,3,4
2062,k,3.8652653220192845,0.009042154911827163,erklingt,206,3,5
2063,l,0.7153737395178695,0.0006489529047610698,erklingt,206,3,6
2064,ɪ,4.106751450482892,0.00036913650380997345,erklingt,206,3,7
2065,ŋ,0.21021770739034562,2.442074186687125e-05,erklingt,206,3,8
2066,t,-0.0,2.0593642698559642e-05,erklingt,206,3,9
2067,z,,,sanft,206,4,1
2068,a,2.409036279866131,0.6041198393683194,sanft,206,4,2
2069,n,6.1822216807806605,0.14192526498810656,sanft,206,4,3
2070,f,2.8607164415272797,0.0030042907995426423,sanft,206,4,4
2071,t,0.04655259898548471,0.0004327029120542655,sanft,206,4,5
2072,ʔ,,,im,206,5,1
2073,ɪ,1.7669368568570172,2.2410487228891505,im,206,5,2
2074,m,4.04787711445444,0.4426033601596914,im,206,5,3
2075,r,,,raum,206,6,1
2076,aʊ,3.3827771077219935,0.19941777424498747,raum,206,6,2
2077,m,3.3460283446878583,0.017452622098693863,raum,206,6,3
2078,d,,,der,213,1,1
2079,eː,2.674012425736514,1.0747748069098002,der,213,1,2
2080,ɐ,0.8765551008297994,0.1530842885872705,der,213,1,3
2081,n,,,nachbar,213,2,1
2082,a,2.2221546937738235,0.41426642954982945,nachbar,213,2,2
2083,x,3.9546854910521834,0.10569802203200385,nachbar,213,2,3
2084,b,3.259045224074466,0.007918222626749644,nachbar,213,2,4
2085,aː,0.03292964871127655,0.0011196699675696889,nachbar,213,2,5
2086,r,-0.0,0.0010869764167568967,nachbar,213,2,6
2087,z,,,sang,213,3,1
2088,a,2.409036279866131,0.6041198393683194,sang,213,3,2
2089,ŋ,9.786229099107834,0.14192526498810656,sang,213,3,3
2090,ʔ,,,unter,213,4,1
2091,ʊ,3.218766885982564,2.2410487228891505,unter,213,4,2
2092,n,0.2158667483671557,0.23405850554192903,unter,213,4,3
2093,t,0.5033271200424583,0.1929911121652366,unter,213,4,4
2094,ɐ,3.5207336394873914,0.11456322531876688,unter,213,4,5
2095,d,,,der,213,5,1
2096,eː,2.674012425736514,1.0747748069098002,der,213,5,2
2097,ɐ,0.8765551008297994,0.1530842885872705,der,213,5,3
2098,d,,,dusche,213,6,1
2099,uː,2.725566893924926,1.0747748069098002,dusche,213,6,2
2100,ʃ,8.996406156405572,0.1163831977162765,dusche,213,6,3
2101,ə,0.16992500144231262,0.0006522942841952765,dusche,213,6,4
2102,ʔ,,,oper,213,7,1
2103,oː,5.517659855290922,2.2410487228891505,oper,213,7,2
2104,p,5.9239369857172175,0.05588854730960918,oper,213,7,3
2105,ɐ,2.8825009948926783,0.001535027356875322,oper,213,7,4
2106,ʔ,,,ein,217,1,1
2107,aɪ,3.2589403945646755,2.2410487228891505,ein,217,1,2
2108,n,0.06414877737699887,0.23716781735682246,ein,217,1,3
2109,b,,,bunter,217,2,1
2110,ʊ,6.3189308444922725,0.4881120664797247,bunter,217,2,2
2111,n,3.6445645700157967,0.007973456652765984,bunter,217,2,3
