,word,word_order,start_s,end_s,audibility,ids,filename
0,Durch,1,0.0,0.36709750566893423,0.33101222826086957,013,013.csv
1,den,2,0.3671201814058957,0.6270975056689342,0.3404356060606061,013,013.csv
2,Regen,3,0.6271201814058956,1.3170975056689342,0.3109734195402299,013,013.csv
3,leuchtet,4,1.5471201814058957,2.077097505668934,0.3101679104477612,013,013.csv
4,das,5,2.0771201814058955,2.3170975056689342,0.48125,013,013.csv
5,Feuer,6,2.3171201814058957,2.927097505668934,0.45292207792207795,013,013.csv
6,Der,1,0.0,0.11709750566893425,0.25052083333333336,137,137.csv
7,Besitz,2,0.1171201814058957,0.5870975056689343,0.1583686440677966,137,137.csv
8,des,3,0.5871201814058957,0.7870975056689342,0.2640625,137,137.csv
9,Kiosks,4,0.7871201814058957,1.4970975056689342,0.3181179775280899,137,137.csv
10,ist,5,1.4971201814058956,1.7870975056689342,0.35578547297297297,137,137.csv
11,rechtlich,6,1.7871201814058957,2.3770975056689343,0.39484797297297297,137,137.csv
12,verpfändet,7,2.3771201814058958,3.258843537414966,0.38013795045045046,137,137.csv
13,Der,1,0.0,0.13709750566893425,0.3298611111111111,220,220.csv
14,Mondschein,2,0.13712018140589569,0.9270975056689342,0.40672348484848486,220,220.csv
15,taucht,3,0.9271201814058957,1.3970975056689343,0.3751324152542373,220,220.csv
16,die,4,1.3971201814058958,1.5470975056689342,0.4387335526315789,220,220.csv
17,Landschaft,5,1.5471201814058957,2.2670975056689344,0.5112847222222222,220,220.csv
18,in,6,2.267120181405896,2.467097505668934,0.0621875,220,220.csv
19,Silber,7,2.4671201814058956,3.077097505668934,0.38707386363636365,220,220.csv
20,Draußen,1,0.0,0.6570975056689342,0.569371234939759,068,068.csv
21,fliegt,2,0.6571201814058957,1.0570975056689342,0.2721875,068,068.csv
22,die,3,1.0571201814058957,1.1970975056689341,0.2508680555555556,068,068.csv
23,Landschaft,4,1.1971201814058956,1.8670975056689343,0.4420572916666667,068,068.csv
24,vorbei,5,1.8671201814058958,2.447097505668934,0.3356164383561644,068,068.csv
25,Einstweilen,1,0.0,1.0370975056689342,0.4698317307692308,130,130.csv
26,ist,2,1.0371201814058957,1.2770975056689342,0.22135416666666666,130,130.csv
27,Erfolg,3,1.2771201814058957,1.7770975056689342,0.38740079365079366,130,130.csv
28,die,4,1.7771201814058957,1.9370975056689343,0.1921875,130,130.csv
29,Hauptsache,5,1.9371201814058956,2.7670975056689344,0.3259465144230769,130,130.csv
30,Das,1,0.0,0.25709750566893425,0.4675662878787879,227,227.csv
31,Café,2,0.2571201814058957,0.9370975056689342,0.4195772058823529,227,227.csv
32,ist,3,0.9371201814058957,1.1670975056689343,0.2516163793103448,227,227.csv
33,Treffpunkt,4,1.1671201814058958,1.8570975056689343,0.2798132183908046,227,227.csv
34,für,5,1.8571201814058957,2.0870975056689343,0.45447198275862066,227,227.csv
35,Gespräche,6,2.0871201814058957,3.007097505668934,0.5133152173913044,227,227.csv
36,Fünf,1,0.04712018140589569,0.42709750566893423,0.3935546875,014,014.csv
37,Freunde,2,0.4271201814058957,1.1870975056689343,0.46356907894736843,014,014.csv
38,wollen,3,1.1871201814058956,1.5470975056689342,0.565625,014,014.csv
39,die,4,1.5471201814058957,1.6770975056689343,0.05514705882352941,014,014.csv
40,Welt,5,1.6771201814058956,2.0120861678004536,0.40066964285714285,014,014.csv
41,bereisen,6,2.012108843537415,2.847097505668934,0.2441220238095238,014,014.csv
