BEGIN;DURATION;TOKEN;MAU;MAS;ORT;KAN;TRO;MRP;KAS;SPK;TRN;SPD;VAD
0;1636;0;ʔ;;In;? I n;;;;;;;
1637;3086;0;ɪ;;In;? I n;;;;;;;
4724;4409;0;n;;In;? I n;;;;;;;
9134;1763;1;d;;der;d e: 6;;;;;;;
10898;3527;1;eː;;der;d e: 6;;;;;;;
14426;3968;1;ɐ;;der;d e: 6;;;;;;;
18395;2204;2;d;;Dämmerung;d E m @ r U N;;;;;;;
20600;3527;2;ɛ;;Dämmerung;d E m @ r U N;;;;;;;
24128;5291;2;m;;Dämmerung;d E m @ r U N;;;;;;;
29420;3527;2;ə;;Dämmerung;d E m @ r U N;;;;;;;
32948;5732;2;r;;Dämmerung;d E m @ r U N;;;;;;;
38681;4850;2;ʊ;;Dämmerung;d E m @ r U N;;;;;;;
43532;8819;2;ŋ;;Dämmerung;d E m @ r U N;;;;;;;
52352;7496;3;k;;kommen;k O m @ n;;;;;;;
59849;3527;3;ɔ;;kommen;k O m @ n;;;;;;;
63377;3968;3;m;;kommen;k O m @ n;;;;;;;
67346;1763;3;ə;;kommen;k O m @ n;;;;;;;
69110;5291;3;n;;kommen;k O m @ n;;;;;;;
74402;1763;4;v;;wir;v i: 6;;;;;;;
76166;2204;4;iː;;wir;v i: 6;;;;;;;
78371;3086;4;ɐ;;wir;v i: 6;;;;;;;
81458;7055;5;h;;heim;h aI m;;;;;;;
88514;7496;5;aɪ;;heim;h aI m;;;;;;;
96011;8819;5;m;;heim;h aI m;;;;;;;
104831;2104;-1;(...);;;;;;;;;;
