BEGIN;DURATION;TOKEN;MAU;MAS;ORT;KAN;TRO;MRP;KAS;SPK;TRN;SPD;VAD
0;1636;0;d;;Die;d i:;;;;;;;
1637;5732;0;iː;;Die;d i:;;;;;;;
7370;7496;1;f;;Vögel;f 2: g @ l;;;;;;;
14867;8819;1;øː;;Vögel;f 2: g @ l;;;;;;;
23687;3527;1;ɡ;;Vögel;f 2: g @ l;;;;;;;
27215;4409;1;ə;;Vögel;f 2: g @ l;;;;;;;
31625;6614;1;l;;Vögel;f 2: g @ l;;;;;;;
38240;2204;2;ʔ;;umkreisten;? U m k r aI s t @ n;;;;;;;
40445;3968;2;ʊ;;umkreisten;? U m k r aI s t @ n;;;;;;;
44414;3968;2;m;;umkreisten;? U m k r aI s t @ n;;;;;;;
48383;3086;2;k;;umkreisten;? U m k r aI s t @ n;;;;;;;
51470;5732;2;r;;umkreisten;? U m k r aI s t @ n;;;;;;;
57203;7937;2;aɪ;;umkreisten;? U m k r aI s t @ n;;;;;;;
65141;6614;2;s;;umkreisten;? U m k r aI s t @ n;;;;;;;
71756;6173;2;t;;umkreisten;? U m k r aI s t @ n;;;;;;;
77930;5291;2;ə;;umkreisten;? U m k r aI s t @ n;;;;;;;
83222;7496;2;n;;umkreisten;? U m k r aI s t @ n;;;;;;;
90719;3968;3;d;;den;d e: n;;;;;;;
94688;3527;3;eː;;den;d e: n;;;;;;;
98216;3968;3;n;;den;d e: n;;;;;;;
102185;3968;4;t;;Turm;t U 6 m;;;;;;;
106154;4409;4;ʊ;;Turm;t U 6 m;;;;;;;
110564;7055;4;ɐ;;Turm;t U 6 m;;;;;;;
117620;8378;4;m;;Turm;t U 6 m;;;;;;;
125999;4735;-1;(...);;;;;;;;;;
