BEGIN;DURATION;TOKEN;MAU;MAS;ORT;KAN;TRO;MRP;KAS;SPK;TRN;SPD;VAD
0;7810;0;m;;Messer;m E s 6;;;;;;;
7811;3968;0;ɛ;;Messer;m E s 6;;;;;;;
11780;6173;0;s;;Messer;m E s 6;;;;;;;
17954;6173;0;ɐ;;Messer;m E s 6;;;;;;;
24128;1322;1;ʔ;;und;? U n t;;;;;;;
25451;3527;1;ʊ;;und;? U n t;;;;;;;
28979;2645;1;n;;und;? U n t;;;;;;;
31625;1763;1;t;;und;? U n t;;;;;;;
33389;4409;2;ɡ;;Gabel;g a: b @ l;;;;;;;
37799;10142;2;aː;;Gabel;g a: b @ l;;;;;;;
47942;3527;2;b;;Gabel;g a: b @ l;;;;;;;
51470;7055;2;ə;;Gabel;g a: b @ l;;;;;;;
58526;5291;2;l;;Gabel;g a: b @ l;;;;;;;
63818;1763;3;l;;liegen;l i: g @ n;;;;;;;
65582;6173;3;iː;;liegen;l i: g @ n;;;;;;;
71756;2645;3;ɡ;;liegen;l i: g @ n;;;;;;;
74402;2204;3;ə;;liegen;l i: g @ n;;;;;;;
76607;1763;3;n;;liegen;l i: g @ n;;;;;;;
78371;3527;4;n;;neben;n e: b @ n;;;;;;;
81899;7937;4;eː;;neben;n e: b @ n;;;;;;;
89837;1322;4;b;;neben;n e: b @ n;;;;;;;
91160;1763;4;ə;;neben;n e: b @ n;;;;;;;
92924;4850;4;n;;neben;n e: b @ n;;;;;;;
97775;2204;5;d;;dem;d e: m;;;;;;;
99980;3086;5;eː;;dem;d e: m;;;;;;;
103067;4850;5;m;;dem;d e: m;;;;;;;
107918;7055;6;t;;Teller;t E l 6;;;;;;;
114974;3968;6;ɛ;;Teller;t E l 6;;;;;;;
118943;3086;6;l;;Teller;t E l 6;;;;;;;
122030;9260;6;ɐ;;Teller;t E l 6;;;;;;;
131291;2205;-1;(...);;;;;;;;;;
