BEGIN;DURATION;TOKEN;MAU;MAS;ORT;KAN;TRO;MRP;KAS;SPK;TRN;SPD;VAD
0;1636;0;d;;Die;d i:;;;;;;;
1637;5732;0;iː;;Die;d i:;;;;;;;
7370;2645;1;l;;Lampe;l a m p @;;;;;;;
10016;4409;1;a;;Lampe;l a m p @;;;;;;;
14426;4850;1;m;;Lampe;l a m p @;;;;;;;
19277;4850;1;p;;Lampe;l a m p @;;;;;;;
24128;5732;1;ə;;Lampe;l a m p @;;;;;;;
29861;6614;2;ʃ;;spendet;S p E n d @ t;;;;;;;
36476;2204;2;p;;spendet;S p E n d @ t;;;;;;;
38681;3968;2;ɛ;;spendet;S p E n d @ t;;;;;;;
42650;5732;2;n;;spendet;S p E n d @ t;;;;;;;
48383;1763;2;d;;spendet;S p E n d @ t;;;;;;;
50147;4850;2;ə;;spendet;S p E n d @ t;;;;;;;
54998;1763;2;t;;spendet;S p E n d @ t;;;;;;;
56762;4409;3;ʔ;;angenehmes;? a n g @ n e: m @ s;;;;;;;
61172;3527;3;a;;angenehmes;? a n g @ n e: m @ s;;;;;;;
64700;5732;3;n;;angenehmes;? a n g @ n e: m @ s;;;;;;;
70433;1322;3;ɡ;;angenehmes;? a n g @ n e: m @ s;;;;;;;
71756;2204;3;ə;;angenehmes;? a n g @ n e: m @ s;;;;;;;
73961;3968;3;n;;angenehmes;? a n g @ n e: m @ s;;;;;;;
77930;6614;3;eː;;angenehmes;? a n g @ n e: m @ s;;;;;;;
84545;4850;3;m;;angenehmes;? a n g @ n e: m @ s;;;;;;;
89396;4409;3;ə;;angenehmes;? a n g @ n e: m @ s;;;;;;;
93806;5291;3;s;;angenehmes;? a n g @ n e: m @ s;;;;;;;
99098;7055;4;h;;helles;h E l @ s;;;;;;;
106154;3527;4;ɛ;;helles;h E l @ s;;;;;;;
109682;3968;4;l;;helles;h E l @ s;;;;;;;
113651;3527;4;ə;;helles;h E l @ s;;;;;;;
117179;5291;4;s;;helles;h E l @ s;;;;;;;
122471;4850;5;l;;Licht;l I C t;;;;;;;
127322;3527;5;ɪ;;Licht;l I C t;;;;;;;
130850;6173;5;ç;;Licht;l I C t;;;;;;;
137024;8819;5;t;;Licht;l I C t;;;;;;;
145844;2567;-1;(...);;;;;;;;;;
