BEGIN;DURATION;TOKEN;MAU;MAS;ORT;KAN;TRO;MRP;KAS;SPK;TRN;SPD;VAD
0;1195;-1;(...);;;;;;;;;;
1196;6614;0;ʃ;;Schnupfen;S n U p f @ n;;;;;;;
7811;3527;0;n;;Schnupfen;S n U p f @ n;;;;;;;
11339;3527;0;ʊ;;Schnupfen;S n U p f @ n;;;;;;;
14867;3527;0;p;;Schnupfen;S n U p f @ n;;;;;;;
18395;6614;0;f;;Schnupfen;S n U p f @ n;;;;;;;
25010;4850;0;ə;;Schnupfen;S n U p f @ n;;;;;;;
29861;1763;0;n;;Schnupfen;S n U p f @ n;;;;;;;
31625;5291;1;ʃ;;stört;S t 2: 6 t;;;;;;;
36917;2645;1;t;;stört;S t 2: 6 t;;;;;;;
39563;2645;1;øː;;stört;S t 2: 6 t;;;;;;;
42209;3968;1;ɐ;;stört;S t 2: 6 t;;;;;;;
46178;2645;1;t;;stört;S t 2: 6 t;;;;;;;
48824;1322;2;ʔ;;uns;? U n s;;;;;;;
50147;2645;2;ʊ;;uns;? U n s;;;;;;;
52793;1763;2;n;;uns;? U n s;;;;;;;
54557;4850;2;s;;uns;? U n s;;;;;;;
59408;2645;3;n;;natürlich;n a t y: 6 l I C;;;;;;;
62054;3086;3;a;;natürlich;n a t y: 6 l I C;;;;;;;
65141;5732;3;t;;natürlich;n a t y: 6 l I C;;;;;;;
70874;3086;3;yː;;natürlich;n a t y: 6 l I C;;;;;;;
73961;1763;3;ɐ;;natürlich;n a t y: 6 l I C;;;;;;;
75725;2645;3;l;;natürlich;n a t y: 6 l I C;;;;;;;
78371;2645;3;ɪ;;natürlich;n a t y: 6 l I C;;;;;;;
81017;1763;3;ç;;natürlich;n a t y: 6 l I C;;;;;;;
82781;6614;4;z;;sehr;z e: 6;;;;;;;
89396;7055;4;eː;;sehr;z e: 6;;;;;;;
96452;6614;4;ɐ;;sehr;z e: 6;;;;;;;
103067;2763;-1;(...);;;;;;;;;;
