BEGIN;DURATION;TOKEN;MAU;MAS;ORT;KAN;TRO;MRP;KAS;SPK;TRN;SPD;VAD
0;754;-1;(...);;;;;;;;;;
755;3527;0;z;;Sechs;z E k s;;;;;;;
4283;4850;0;ɛ;;Sechs;z E k s;;;;;;;
9134;3527;0;k;;Sechs;z E k s;;;;;;;
12662;4850;0;s;;Sechs;z E k s;;;;;;;
17513;4850;1;m;;Mädchen;m E: t C @ n;;;;;;;
22364;5291;1;ɛː;;Mädchen;m E: t C @ n;;;;;;;
27656;3086;1;t;;Mädchen;m E: t C @ n;;;;;;;
30743;5732;1;ç;;Mädchen;m E: t C @ n;;;;;;;
36476;2204;1;ə;;Mädchen;m E: t C @ n;;;;;;;
38681;7496;1;n;;Mädchen;m E: t C @ n;;;;;;;
46178;3086;2;v;;wollen;v O l @ n;;;;;;;
49265;4409;2;ɔ;;wollen;v O l @ n;;;;;;;
53675;4409;2;l;;wollen;v O l @ n;;;;;;;
58085;1322;2;ə;;wollen;v O l @ n;;;;;;;
59408;2204;2;n;;wollen;v O l @ n;;;;;;;
61613;5291;3;ʃ;;Schwester;S v E s t 6;;;;;;;
66905;3086;3;v;;Schwester;S v E s t 6;;;;;;;
69992;4850;3;ɛ;;Schwester;S v E s t 6;;;;;;;
74843;5732;3;s;;Schwester;S v E s t 6;;;;;;;
80576;3086;3;t;;Schwester;S v E s t 6;;;;;;;
83663;5732;3;ɐ;;Schwester;S v E s t 6;;;;;;;
89396;2645;4;v;;werden;v e: 6 d @ n;;;;;;;
92042;5732;4;eː;;werden;v e: 6 d @ n;;;;;;;
97775;5732;4;ɐ;;werden;v e: 6 d @ n;;;;;;;
103508;2204;4;d;;werden;v e: 6 d @ n;;;;;;;
105713;5291;4;ə;;werden;v e: 6 d @ n;;;;;;;
111005;1763;4;n;;werden;v e: 6 d @ n;;;;;;;
112769;2705;-1;(...);;;;;;;;;;
