BEGIN;DURATION;TOKEN;MAU;MAS;ORT;KAN;TRO;MRP;KAS;SPK;TRN;SPD;VAD
0;2077;0;ʔ;;Er;? E 6;;;;;;;
2078;3968;0;ɛ;;Er;? E 6;;;;;;;
6047;1322;0;ɐ;;Er;? E 6;;;;;;;
7370;3086;1;ɡ;;gewinnt;g @ v I n t;;;;;;;
10457;3086;1;ə;;gewinnt;g @ v I n t;;;;;;;
13544;2645;1;v;;gewinnt;g @ v I n t;;;;;;;
16190;3086;1;ɪ;;gewinnt;g @ v I n t;;;;;;;
19277;5291;1;n;;gewinnt;g @ v I n t;;;;;;;
24569;7937;1;t;;gewinnt;g @ v I n t;;;;;;;
32507;3527;2;z;;sechs;z E k s;;;;;;;
36035;4409;2;ɛ;;sechs;z E k s;;;;;;;
40445;3086;2;k;;sechs;z E k s;;;;;;;
43532;3527;2;s;;sechs;z E k s;;;;;;;
47060;5291;3;ʃ;;Spiele;S p i: l @;;;;;;;
52352;2645;3;p;;Spiele;S p i: l @;;;;;;;
54998;5732;3;iː;;Spiele;S p i: l @;;;;;;;
60731;3086;3;l;;Spiele;S p i: l @;;;;;;;
63818;10142;3;ə;;Spiele;S p i: l @;;;;;;;
73961;4409;4;n;;nacheinander;n a: x ? aI n a n d 6;;;;;;;
78371;3968;4;aː;;nacheinander;n a: x ? aI n a n d 6;;;;;;;
82340;3968;4;x;;nacheinander;n a: x ? aI n a n d 6;;;;;;;
86309;1322;4;ʔ;;nacheinander;n a: x ? aI n a n d 6;;;;;;;
87632;3086;4;aɪ;;nacheinander;n a: x ? aI n a n d 6;;;;;;;
90719;3527;4;n;;nacheinander;n a: x ? aI n a n d 6;;;;;;;
94247;4409;4;a;;nacheinander;n a: x ? aI n a n d 6;;;;;;;
98657;5732;4;n;;nacheinander;n a: x ? aI n a n d 6;;;;;;;
104390;1763;4;d;;nacheinander;n a: x ? aI n a n d 6;;;;;;;
106154;10142;4;ɐ;;nacheinander;n a: x ? aI n a n d 6;;;;;;;
116297;3101;-1;(...);;;;;;;;;;
