BEGIN;DURATION;TOKEN;MAU;MAS;ORT;KAN;TRO;MRP;KAS;SPK;TRN;SPD;VAD
0;1636;0;ʔ;;Unsere;? U n z @ r @;;;;;;;
1637;3968;0;ʊ;;Unsere;? U n z @ r @;;;;;;;
5606;1763;0;n;;Unsere;? U n z @ r @;;;;;;;
7370;4409;0;z;;Unsere;? U n z @ r @;;;;;;;
11780;2645;0;ə;;Unsere;? U n z @ r @;;;;;;;
14426;2204;0;r;;Unsere;? U n z @ r @;;;;;;;
16631;5291;0;ə;;Unsere;? U n z @ r @;;;;;;;
21923;2645;1;b;;beiden;b aI d @ n;;;;;;;
24569;8819;1;aɪ;;beiden;b aI d @ n;;;;;;;
33389;2204;1;d;;beiden;b aI d @ n;;;;;;;
35594;2645;1;ə;;beiden;b aI d @ n;;;;;;;
38240;1322;1;n;;beiden;b aI d @ n;;;;;;;
39563;3968;2;h;;Hunde;h U n d @;;;;;;;
43532;5291;2;ʊ;;Hunde;h U n d @;;;;;;;
48824;4850;2;n;;Hunde;h U n d @;;;;;;;
53675;2204;2;d;;Hunde;h U n d @;;;;;;;
55880;3527;2;ə;;Hunde;h U n d @;;;;;;;
59408;5732;3;h;;haben;h a: b @ n;;;;;;;
65141;5291;3;aː;;haben;h a: b @ n;;;;;;;
70433;1763;3;b;;haben;h a: b @ n;;;;;;;
72197;4409;3;ə;;haben;h a: b @ n;;;;;;;
76607;1322;3;n;;haben;h a: b @ n;;;;;;;
77930;2204;4;d;;Durst;d U 6 s t;;;;;;;
80135;1763;4;ʊ;;Durst;d U 6 s t;;;;;;;
81899;7937;4;ɐ;;Durst;d U 6 s t;;;;;;;
89837;6614;4;s;;Durst;d U 6 s t;;;;;;;
96452;8963;4;t;;Durst;d U 6 s t;;;;;;;
