BEGIN;DURATION;TOKEN;MAU;MAS;ORT;KAN;TRO;MRP;KAS;SPK;TRN;SPD;VAD
0;2077;0;d;;Der;d e: 6;;;;;;;
2078;3968;0;eː;;Der;d e: 6;;;;;;;
6047;3968;0;ɐ;;Der;d e: 6;;;;;;;
10016;2204;-1;(...);;;;;;;;;;
12221;2204;1;b;;Bus;b U s;;;;;;;
14426;5291;1;ʊ;;Bus;b U s;;;;;;;
19718;10583;1;s;;Bus;b U s;;;;;;;
30302;4850;-1;(...);;;;;;;;;;
35153;6173;2;f;;fährt;f E: 6 t;;;;;;;
41327;3968;2;ɛː;;fährt;f E: 6 t;;;;;;;
45296;3086;2;ɐ;;fährt;f E: 6 t;;;;;;;
48383;1763;2;t;;fährt;f E: 6 t;;;;;;;
50147;3527;3;d;;durch;d U 6 C;;;;;;;
53675;1322;3;ʊ;;durch;d U 6 C;;;;;;;
54998;2204;3;ɐ;;durch;d U 6 C;;;;;;;
57203;4850;3;ç;;durch;d U 6 C;;;;;;;
62054;2645;4;d;;die;d i:;;;;;;;
64700;3086;4;iː;;die;d i:;;;;;;;
67787;6614;5;ʃ;;Stadt;S t a t;;;;;;;
74402;2204;5;t;;Stadt;S t a t;;;;;;;
76607;6173;5;a;;Stadt;S t a t;;;;;;;
82781;8571;5;t;;Stadt;S t a t;;;;;;;
