BEGIN;DURATION;TOKEN;MAU;MAS;ORT;KAN;TRO;MRP;KAS;SPK;TRN;SPD;VAD
0;2518;0;d;;Durch;d U 6 C;;;;;;;
2519;1322;0;ʊ;;Durch;d U 6 C;;;;;;;
3842;3086;0;ɐ;;Durch;d U 6 C;;;;;;;
6929;7496;0;ç;;Durch;d U 6 C;;;;;;;
14426;2645;1;v;;Wald;v a l t;;;;;;;
17072;5291;1;a;;Wald;v a l t;;;;;;;
22364;6173;1;l;;Wald;v a l t;;;;;;;
28538;3527;1;t;;Wald;v a l t;;;;;;;
32066;2204;2;ʔ;;und;? U n t;;;;;;;
34271;4850;2;ʊ;;und;? U n t;;;;;;;
39122;1322;2;n;;und;? U n t;;;;;;;
40445;2204;2;t;;und;? U n t;;;;;;;
42650;6173;3;f;;Feld;f E l t;;;;;;;
48824;2645;3;ɛ;;Feld;f E l t;;;;;;;
51470;8819;3;l;;Feld;f E l t;;;;;;;
60290;3527;3;t;;Feld;f E l t;;;;;;;
63818;6173;4;f;;führt;f y: 6 t;;;;;;;
69992;2645;4;yː;;führt;f y: 6 t;;;;;;;
72638;4409;4;ɐ;;führt;f y: 6 t;;;;;;;
77048;3086;4;t;;führt;f y: 6 t;;;;;;;
80135;2645;5;ʔ;;unser;? U n z 6;;;;;;;
82781;3527;5;ʊ;;unser;? U n z 6;;;;;;;
86309;2204;5;n;;unser;? U n z 6;;;;;;;
88514;3968;5;z;;unser;? U n z 6;;;;;;;
92483;5732;5;ɐ;;unser;? U n z 6;;;;;;;
98216;3086;6;v;;Weg;v e: k;;;;;;;
101303;7937;6;eː;;Weg;v e: k;;;;;;;
109241;7055;6;k;;Weg;v e: k;;;;;;;
116297;3297;-1;(...);;;;;;;;;;
