BEGIN;DURATION;TOKEN;MAU;MAS;ORT;KAN;TRO;MRP;KAS;SPK;TRN;SPD;VAD
0;1636;0;d;;Die;d i:;;;;;;;
1637;4850;0;iː;;Die;d i:;;;;;;;
6488;5291;1;ʃ;;Straßen;S t r a: s @ n;;;;;;;
11780;1322;1;t;;Straßen;S t r a: s @ n;;;;;;;
13103;4409;1;r;;Straßen;S t r a: s @ n;;;;;;;
17513;7937;1;aː;;Straßen;S t r a: s @ n;;;;;;;
25451;7055;1;s;;Straßen;S t r a: s @ n;;;;;;;
32507;6173;1;ə;;Straßen;S t r a: s @ n;;;;;;;
38681;2204;1;n;;Straßen;S t r a: s @ n;;;;;;;
40886;3527;2;z;;sind;z I n t;;;;;;;
44414;2204;2;ɪ;;sind;z I n t;;;;;;;
46619;2645;2;n;;sind;z I n t;;;;;;;
49265;1322;2;t;;sind;z I n t;;;;;;;
50588;7055;3;f;;voller;f O l 6;;;;;;;
57644;4409;3;ɔ;;voller;f O l 6;;;;;;;
62054;2204;3;l;;voller;f O l 6;;;;;;;
64259;5291;3;ɐ;;voller;f O l 6;;;;;;;
69551;5291;4;f;;fröhlicher;f r 2: l I C 6;;;;;;;
74843;5291;4;r;;fröhlicher;f r 2: l I C 6;;;;;;;
80135;4409;4;øː;;fröhlicher;f r 2: l I C 6;;;;;;;
84545;3086;4;l;;fröhlicher;f r 2: l I C 6;;;;;;;
87632;3086;4;ɪ;;fröhlicher;f r 2: l I C 6;;;;;;;
90719;5732;4;ç;;fröhlicher;f r 2: l I C 6;;;;;;;
96452;6173;4;ɐ;;fröhlicher;f r 2: l I C 6;;;;;;;
102626;5732;5;p;;Passanten;p a s a n t @ n;;;;;;;
108359;3527;5;a;;Passanten;p a s a n t @ n;;;;;;;
111887;5732;5;s;;Passanten;p a s a n t @ n;;;;;;;
117620;4850;5;a;;Passanten;p a s a n t @ n;;;;;;;
122471;4850;5;n;;Passanten;p a s a n t @ n;;;;;;;
127322;7496;5;t;;Passanten;p a s a n t @ n;;;;;;;
134819;5291;5;ə;;Passanten;p a s a n t @ n;;;;;;;
140111;1322;5;n;;Passanten;p a s a n t @ n;;;;;;;
141434;2353;-1;(...);;;;;;;;;;
