BEGIN;DURATION;TOKEN;MAU;MAS;ORT;KAN;TRO;MRP;KAS;SPK;TRN;SPD;VAD
0;1636;0;ʔ;;Autos;? aU t o s;;;;;;;
1637;7496;0;aʊ;;Autos;? aU t o s;;;;;;;
9134;7496;0;t;;Autos;? aU t o s;;;;;;;
16631;9701;0;o;;Autos;? aU t o s;;;;;;;
26333;4409;0;s;;Autos;? aU t o s;;;;;;;
30743;6614;1;f;;fahren;f a: r @ n;;;;;;;
37358;7055;1;aː;;fahren;f a: r @ n;;;;;;;
44414;2204;1;r;;fahren;f a: r @ n;;;;;;;
46619;1322;1;ə;;fahren;f a: r @ n;;;;;;;
47942;3527;1;n;;fahren;f a: r @ n;;;;;;;
51470;2645;2;ʔ;;auf;? aU f;;;;;;;
54116;5732;2;aʊ;;auf;? aU f;;;;;;;
59849;2645;2;f;;auf;? aU f;;;;;;;
62495;3086;3;d;;der;d e: 6;;;;;;;
65582;3086;3;eː;;der;d e: 6;;;;;;;
68669;3086;3;ɐ;;der;d e: 6;;;;;;;
71756;5291;4;ʃ;;Straße;S t r a: s @;;;;;;;
77048;1322;4;t;;Straße;S t r a: s @;;;;;;;
78371;4850;4;r;;Straße;S t r a: s @;;;;;;;
83222;8378;4;aː;;Straße;S t r a: s @;;;;;;;
91601;7055;4;s;;Straße;S t r a: s @;;;;;;;
98657;7496;4;ə;;Straße;S t r a: s @;;;;;;;
106154;2714;-1;(...);;;;;;;;;;
