BEGIN;DURATION;TOKEN;MAU;MAS;ORT;KAN;TRO;MRP;KAS;SPK;TRN;SPD;VAD
0;754;-1;(...);;;;;;;;;;
755;7055;0;ʃ;;Schnaps;S n a p s;;;;;;;
7811;4409;0;n;;Schnaps;S n a p s;;;;;;;
12221;3968;0;a;;Schnaps;S n a p s;;;;;;;
16190;4850;0;p;;Schnaps;S n a p s;;;;;;;
21041;6173;0;s;;Schnaps;S n a p s;;;;;;;
27215;1322;1;ʔ;;im;? I m;;;;;;;
28538;4409;1;ɪ;;im;? I m;;;;;;;
32948;5291;1;m;;im;? I m;;;;;;;
38240;5291;2;t;;Tee;t e:;;;;;;;
43532;10142;2;eː;;Tee;t e:;;;;;;;
53675;5732;3;f;;verfälscht;f E 6 f E l S t;;;;;;;
59408;1322;3;ɛ;;verfälscht;f E 6 f E l S t;;;;;;;
60731;2204;3;ɐ;;verfälscht;f E 6 f E l S t;;;;;;;
62936;6173;3;f;;verfälscht;f E 6 f E l S t;;;;;;;
69110;2204;3;ɛ;;verfälscht;f E 6 f E l S t;;;;;;;
71315;5291;3;l;;verfälscht;f E 6 f E l S t;;;;;;;
76607;4409;3;ʃ;;verfälscht;f E 6 f E l S t;;;;;;;
81017;1322;3;t;;verfälscht;f E 6 f E l S t;;;;;;;
82340;1763;4;d;;das;d a s;;;;;;;
84104;3968;4;a;;das;d a s;;;;;;;
88073;4409;4;s;;das;d a s;;;;;;;
92483;2204;5;ʔ;;Aroma;? a r o: m a;;;;;;;
94688;4850;5;a;;Aroma;? a r o: m a;;;;;;;
99539;2645;5;r;;Aroma;? a r o: m a;;;;;;;
102185;6614;5;oː;;Aroma;? a r o: m a;;;;;;;
108800;4409;5;m;;Aroma;? a r o: m a;;;;;;;
113210;8819;5;a;;Aroma;? a r o: m a;;;;;;;
122030;2743;-1;(...);;;;;;;;;;
