BEGIN;DURATION;TOKEN;MAU;MAS;ORT;KAN;TRO;MRP;KAS;SPK;TRN;SPD;VAD
0;2077;0;d;;Die;d i:;;;;;;;
2078;4850;0;iː;;Die;d i:;;;;;;;
6929;8819;1;f;;Vögel;f 2: g @ l;;;;;;;
15749;9260;1;øː;;Vögel;f 2: g @ l;;;;;;;
25010;2204;1;ɡ;;Vögel;f 2: g @ l;;;;;;;
27215;9260;1;ə;;Vögel;f 2: g @ l;;;;;;;
36476;1763;1;l;;Vögel;f 2: g @ l;;;;;;;
38240;4409;-1;(...);;;;;;;;;;
42650;1763;2;t;;zwitschern;t s v I t S 6 n;;;;;;;
44414;7055;2;s;;zwitschern;t s v I t S 6 n;;;;;;;
51470;1763;2;v;;zwitschern;t s v I t S 6 n;;;;;;;
53234;3086;2;ɪ;;zwitschern;t s v I t S 6 n;;;;;;;
56321;2645;2;t;;zwitschern;t s v I t S 6 n;;;;;;;
58967;7055;2;ʃ;;zwitschern;t s v I t S 6 n;;;;;;;
66023;5732;2;ɐ;;zwitschern;t s v I t S 6 n;;;;;;;
71756;4409;2;n;;zwitschern;t s v I t S 6 n;;;;;;;
76166;3086;3;ʔ;;am;? a m;;;;;;;
79253;3086;3;a;;am;? a m;;;;;;;
82340;5291;3;m;;am;? a m;;;;;;;
87632;1322;4;m;;Morgen;m O 6 g @ n;;;;;;;
88955;1763;4;ɔ;;Morgen;m O 6 g @ n;;;;;;;
90719;7937;4;ɐ;;Morgen;m O 6 g @ n;;;;;;;
98657;4850;4;ɡ;;Morgen;m O 6 g @ n;;;;;;;
103508;7937;4;ə;;Morgen;m O 6 g @ n;;;;;;;
111446;2624;4;n;;Morgen;m O 6 g @ n;;;;;;;
