BEGIN;DURATION;TOKEN;MAU;MAS;ORT;KAN;TRO;MRP;KAS;SPK;TRN;SPD;VAD
0;3841;0;n;;Nicht;n I C t;;;;;;;
3842;3086;0;ɪ;;Nicht;n I C t;;;;;;;
6929;3968;0;ç;;Nicht;n I C t;;;;;;;
10898;4850;0;t;;Nicht;n I C t;;;;;;;
15749;4409;1;j;;jeder;j e: d 6;;;;;;;
20159;5732;1;eː;;jeder;j e: d 6;;;;;;;
25892;2204;1;d;;jeder;j e: d 6;;;;;;;
28097;7055;1;ɐ;;jeder;j e: d 6;;;;;;;
35153;3968;2;f;;verträgt;f E 6 t r E: k t;;;;;;;
39122;1322;2;ɛ;;verträgt;f E 6 t r E: k t;;;;;;;
40445;3527;2;ɐ;;verträgt;f E 6 t r E: k t;;;;;;;
43973;3086;2;t;;verträgt;f E 6 t r E: k t;;;;;;;
47060;5291;2;r;;verträgt;f E 6 t r E: k t;;;;;;;
52352;3527;2;ɛː;;verträgt;f E 6 t r E: k t;;;;;;;
55880;5732;2;k;;verträgt;f E 6 t r E: k t;;;;;;;
61613;3527;2;t;;verträgt;f E 6 t r E: k t;;;;;;;
65141;2645;3;k;;kaltes;k a l t @ s;;;;;;;
67787;2204;3;a;;kaltes;k a l t @ s;;;;;;;
69992;4409;3;l;;kaltes;k a l t @ s;;;;;;;
74402;5291;3;t;;kaltes;k a l t @ s;;;;;;;
79694;1322;3;ə;;kaltes;k a l t @ s;;;;;;;
81017;4850;3;s;;kaltes;k a l t @ s;;;;;;;
85868;3968;-1;(...);;;;;;;;;;
89837;1763;4;b;;Bier;b i: 6;;;;;;;
91601;5732;4;iː;;Bier;b i: 6;;;;;;;
97334;8378;4;ɐ;;Bier;b i: 6;;;;;;;
105713;2347;-1;(...);;;;;;;;;;
