BEGIN;DURATION;TOKEN;MAU;MAS;ORT;KAN;TRO;MRP;KAS;SPK;TRN;SPD;VAD
0;2077;0;d;;Der;d e: 6;;;;;;;
2078;3968;0;eː;;Der;d e: 6;;;;;;;
6047;3968;0;ɐ;;Der;d e: 6;;;;;;;
10016;2645;1;r;;Regen;r e: g @ n;;;;;;;
12662;8378;1;eː;;Regen;r e: g @ n;;;;;;;
21041;4850;1;ɡ;;Regen;r e: g @ n;;;;;;;
25892;7055;1;ə;;Regen;r e: g @ n;;;;;;;
32948;2645;1;n;;Regen;r e: g @ n;;;;;;;
35594;2204;-1;(...);;;;;;;;;;
37799;1322;2;t;;tropft;t r O p f t;;;;;;;
39122;5291;2;r;;tropft;t r O p f t;;;;;;;
44414;3527;2;ɔ;;tropft;t r O p f t;;;;;;;
47942;3527;2;p;;tropft;t r O p f t;;;;;;;
51470;3968;2;f;;tropft;t r O p f t;;;;;;;
55439;1763;2;t;;tropft;t r O p f t;;;;;;;
57203;5732;3;f;;vom;f O m;;;;;;;
62936;4409;3;ɔ;;vom;f O m;;;;;;;
67346;4850;3;m;;vom;f O m;;;;;;;
72197;2645;4;d;;Dach;d a x;;;;;;;
74843;4409;4;a;;Dach;d a x;;;;;;;
79253;13229;4;x;;Dach;d a x;;;;;;;
92483;2575;-1;(...);;;;;;;;;;
