BEGIN;DURATION;TOKEN;MAU;MAS;ORT;KAN;TRO;MRP;KAS;SPK;TRN;SPD;VAD
0;4723;0;n;;Nach;n a: x;;;;;;;
4724;3086;0;aː;;Nach;n a: x;;;;;;;
7811;3968;0;x;;Nach;n a: x;;;;;;;
11780;3968;1;d;;diesen;d i: z @ n;;;;;;;
15749;5732;1;iː;;diesen;d i: z @ n;;;;;;;
21482;3968;1;z;;diesen;d i: z @ n;;;;;;;
25451;2645;1;ə;;diesen;d i: z @ n;;;;;;;
28097;1322;1;n;;diesen;d i: z @ n;;;;;;;
29420;7496;2;ʃ;;Sturmböen;S t U 6 m b 2: @ n;;;;;;;
36917;2204;2;t;;Sturmböen;S t U 6 m b 2: @ n;;;;;;;
39122;2204;2;ʊ;;Sturmböen;S t U 6 m b 2: @ n;;;;;;;
41327;5732;2;ɐ;;Sturmböen;S t U 6 m b 2: @ n;;;;;;;
47060;6614;2;m;;Sturmböen;S t U 6 m b 2: @ n;;;;;;;
53675;1322;2;b;;Sturmböen;S t U 6 m b 2: @ n;;;;;;;
54998;7937;2;øː;;Sturmböen;S t U 6 m b 2: @ n;;;;;;;
62936;1322;2;ə;;Sturmböen;S t U 6 m b 2: @ n;;;;;;;
64259;6173;2;n;;Sturmböen;S t U 6 m b 2: @ n;;;;;;;
70433;7496;3;h;;herrscht;h E 6 S t;;;;;;;
77930;1322;3;ɛ;;herrscht;h E 6 S t;;;;;;;
79253;3527;3;ɐ;;herrscht;h E 6 S t;;;;;;;
82781;3086;3;ʃ;;herrscht;h E 6 S t;;;;;;;
85868;1322;3;t;;herrscht;h E 6 S t;;;;;;;
87191;1322;4;ʔ;;ein;? aI n;;;;;;;
88514;4409;4;aɪ;;ein;? aI n;;;;;;;
92924;2645;4;n;;ein;? aI n;;;;;;;
95570;6614;5;f;;furchtbares;f U 6 C t b a: r @ s;;;;;;;
102185;1763;5;ʊ;;furchtbares;f U 6 C t b a: r @ s;;;;;;;
103949;1763;5;ɐ;;furchtbares;f U 6 C t b a: r @ s;;;;;;;
105713;4409;5;ç;;furchtbares;f U 6 C t b a: r @ s;;;;;;;
110123;1322;5;t;;furchtbares;f U 6 C t b a: r @ s;;;;;;;
111446;3527;5;b;;furchtbares;f U 6 C t b a: r @ s;;;;;;;
114974;6173;5;aː;;furchtbares;f U 6 C t b a: r @ s;;;;;;;
121148;1322;5;r;;furchtbares;f U 6 C t b a: r @ s;;;;;;;
122471;1322;5;ə;;furchtbares;f U 6 C t b a: r @ s;;;;;;;
123794;5291;5;s;;furchtbares;f U 6 C t b a: r @ s;;;;;;;
129086;7496;6;k;;Chaos;k a: O s;;;;;;;
136583;10583;6;aː;;Chaos;k a: O s;;;;;;;
147167;1763;6;ɔ;;Chaos;k a: O s;;;;;;;
148931;9701;6;s;;Chaos;k a: O s;;;;;;;
158633;1746;-1;(...);;;;;;;;;;
