BEGIN;DURATION;TOKEN;MAU;MAS;ORT;KAN;TRO;MRP;KAS;SPK;TRN;SPD;VAD
0;2518;0;d;;Der;d e: 6;;;;;;;
2519;5291;0;eː;;Der;d e: 6;;;;;;;
7811;3968;0;ɐ;;Der;d e: 6;;;;;;;
11780;1763;1;r;;Regen;r e: g @ n;;;;;;;
13544;8378;1;eː;;Regen;r e: g @ n;;;;;;;
21923;3968;1;ɡ;;Regen;r e: g @ n;;;;;;;
25892;7496;1;ə;;Regen;r e: g @ n;;;;;;;
33389;1763;1;n;;Regen;r e: g @ n;;;;;;;
35153;3968;2;p;;prasselt;p r a: s @ l t;;;;;;;
39122;5732;2;r;;prasselt;p r a: s @ l t;;;;;;;
44855;3968;2;aː;;prasselt;p r a: s @ l t;;;;;;;
48824;5732;2;s;;prasselt;p r a: s @ l t;;;;;;;
54557;2645;2;ə;;prasselt;p r a: s @ l t;;;;;;;
57203;2645;2;l;;prasselt;p r a: s @ l t;;;;;;;
59849;1322;2;t;;prasselt;p r a: s @ l t;;;;;;;
61172;1322;3;ʔ;;auf;? aU f;;;;;;;
62495;6173;3;aʊ;;auf;? aU f;;;;;;;
68669;1763;3;f;;auf;? aU f;;;;;;;
70433;3086;4;d;;das;d a s;;;;;;;
73520;3086;4;a;;das;d a s;;;;;;;
76607;4409;4;s;;das;d a s;;;;;;;
81017;3968;5;d;;Dachfenster;d a x f E n s t 6;;;;;;;
84986;3086;5;a;;Dachfenster;d a x f E n s t 6;;;;;;;
88073;6173;5;x;;Dachfenster;d a x f E n s t 6;;;;;;;
94247;5291;5;f;;Dachfenster;d a x f E n s t 6;;;;;;;
99539;5291;5;ɛ;;Dachfenster;d a x f E n s t 6;;;;;;;
104831;3527;5;n;;Dachfenster;d a x f E n s t 6;;;;;;;
108359;5732;5;s;;Dachfenster;d a x f E n s t 6;;;;;;;
114092;3527;5;t;;Dachfenster;d a x f E n s t 6;;;;;;;
117620;9701;5;ɐ;;Dachfenster;d a x f E n s t 6;;;;;;;
127322;1007;-1;(...);;;;;;;;;;
